id1816,kreiskey1800,county,rb,rel1816_pro_luth,rel1816_pro_ref,rel1816_cat,rel1816_men,rel1816_jew_rights,rel1816_jew_norights
249,188,"Teklenburg","MUN",660,17084,17188,0,64,108
250,56,"Teltow","POT",46483,1067,108,98,78,2
251,52,"Templin","POT",25388,311,35,0,100,0
252,12,"Thorn","MAR",12885,67,21459,272,1,536
253,8,"Tilsit","GUM",36592,3008,851,94,115,2
254,163,"Torgau","MER",34749,5,87,0,0,9
255,125,"Tost","OPP",1187,22,39221,0,990,0
256,105,"Trebnitz","BRE",27490,17,8070,0,20,0
257,263,"Trier, Stadtkreis","TRI",300,20,13624,0,300,0
258,264,"Trier, Landkreis","TRI",74,14,38448,0,367,2
259,23,"Tscharnikow","BRO",18605,2,13476,0,0,3967
260,226,"Ukerath","KOL",3165,0,23833,0,108,0
261,81,"Usedom","STE",18520,17,27,0,18,15
262,225,"Waldbröl","KOL",10062,0,5058,0,7,0
263,156,"Wanzleben","MAG",29452,54,558,0,42,0
264,207,"Warburg","MIN",184,389,26778,0,1050,0
265,189,"Warendorf","MUN",32,3944,27562,0,99,2
266,103,"Wartenberg","BRE",13609,673,8731,0,378,14
267,176,"Weissenfels","MER",36504,22,24,0,0,0
268,184,"Weissensee","ERF",17396,2,23,1,0,0
269,258,"Wetzlar","KOB",12371,623,749,0,45,114
270,204,"Wiedenbrück","MIN",4968,1382,24684,0,354,15
271,223,"Wipperfürth","KOL",625,160,19058,0,0,0
272,22,"Wirlitz","BRO",16215,5,17103,0,2,1889
273,165,"Wittenberg","MER",28052,23,41,0,0,0
274,222,"Wittgenstein","ARN",209,14821,617,43,168,112
275,262,"Wittlich","TRI",9,0,22050,0,199,32
276,109,"Wohlau","BRE",26082,94,7114,0,20,0
277,157,"Wollmirstädt","MAG",26721,53,363,0,40,0
278,49,"Wongrowiz","BRO",4640,43,22566,0,0,968
279,180,"Worbis","ERF",6710,24,22514,0,33,0
280,178,"Zeiz","MER",22655,3,28,0,0,0
281,251,"Zell","KOB",5793,1874,13468,0,118,51
282,186,"Ziegenrück","ERF",8091,0,3,0,0,0
283,73,"Züllichau","FRA",28017,82,2755,0,62,1
284,220,"Bilstein","ARN",671,56,22674,0,95,5
285,280,"Blankenheim","AAC",381,107,12057,0,37,0
286,1,"Brandenburg","KON",62299,96,442,10,77,30
287,258,"Braunfels","KOB",3209,13889,183,27,0,453
288,11,"Christburg","MAR",6419,17,12197,0,2388,15
289,16,"Dirschau","DAN",11522,438,30911,29,416,4
290,22,"Kammin","MAR",11548,7,7397,0,2388,15
291,256,"Linz","KOB",7,19,10927,0,0,228
292,210,"Medebach","ARN",81,54,17953,0,20,76
293,38,"Memel","GUM",26433,123,197,21,7,4
294,241,"Mettmann","DUS",5507,14504,5350,0,188,0
295,13,"Michelau","MAR",7030,14,30593,0,40,565
296,15,"Neuenburg","MAR",7061,21,13109,523,336,3
297,243,"Opladen","DUS",9964,332,12337,0,14,36
298,89,"Osten","STE",,,,,,
299,26,"Peisern","POS",1633,0,21802,0,0,2182
300,10,"Rhein","GUM",29515,45,654,0,39,1
301,6,"Schaken","KON",98242,2132,2100,182,957,0
302,7,"Tapiau","KON",50873,106,339,8,13,18
303,281,"St. Vith","AAC",6,3,10520,0,0,0
304,276,"Aachen","AAC",404,210,31287,0,114,0
305,228,"Köln","KOL",950,980,44298,0,150,0
306,193,"Münster","MUN",405,149,14455,0,79,0
307,59,"Potsdam","POT",15639,965,673,0,78,0
308,50,"Berlin","POT",161029,12442,5208,0,3322,28
