id1819,kreiskey1800,county,rb,fac1819_brick,fac1819_lime,fac1819_glass,mill1819_water,mill1819_saw_one,mill1819_saw_more
241,198,"Recklinghausen","MUN",7,0,1,56,1,0
242,235,"Rees","DUS",2,0,0,1,0,0
243,89,"Regenwalde","STE",10,1,1,35,2,0
244,118,"Reichenbach","BRE",9,3,0,107,11,0
245,232,"Rheinbach","KOL",2,3,0,49,0,0
246,237,"Rheinberg","DUS",10,0,0,5,0,0
247,31,"Ribnik","OPP",2,0,0,113,10,0
248,2,"Rössel","KON",5,1,0,19,3,0
249,17,"Rosenberg","MAR",5,0,0,15,3,0
250,121,"Rosenberg","OPP",10,7,1,85,17,0
251,147,"Rothenburg","LIE",15,11,1,76,30,0
252,96,"Rummelsburg","KOS",8,3,0,42,5,0
253,62,"Ruppin","POT",16,6,1,33,10,0
254,168,"Saalkreis","MER",4,3,0,19,3,0
255,269,"Saarbrücken","TRI",12,16,5,15,5,0
256,266,"Saarburg","TRI",4,18,0,70,1,0
257,268,"Saarlouis","TRI",8,48,0,61,0,0
258,85,"Saazig","STE",5,0,0,28,10,0
259,136,"Sagan","LIE",19,0,1,71,24,0
260,149,"Salzwedel","MAG",6,1,0,46,0,0
261,24,"Samter","POS",10,2,0,22,1,0
262,172,"Sangerhausen","MER",8,11,0,108,7,0
263,90,"Schiefelbein","KOS",4,1,0,10,3,0
264,43,"Schildberg","POS",2,0,1,70,4,0
265,95,"Schlawe","KOS",10,2,0,46,17,0
266,187,"Schleusingen","ERF",5,4,1,70,32,0
267,14,"Schlochau","MAR",5,0,1,51,8,0
268,29,"Schönau","LIE",1,17,0,60,12,0
269,40,"Schrimm","POS",13,1,0,12,1,0
270,39,"Schrodda","POS",0,0,0,16,1,0
271,20,"Schubin","BRO",7,1,0,27,6,0
272,30,"Schweidnitz","BRE",8,2,0,93,7,0
273,164,"Schweinitz","MER",15,1,0,25,20,0
274,14,"Schwetz","MAR",7,3,1,28,13,0
275,10,"Sensburg","GUM",7,1,0,17,4,0
276,226,"Siegburg","KOL",5,0,0,33,0,0
277,221,"Siegen","ARN",1,0,0,49,6,0
278,247,"Simmern","KOB",1,9,0,145,2,0
279,213,"Soest","ARN",2,0,0,41,3,0
280,66,"Soldin","FRA",21,0,0,17,8,0
281,243,"Solingen","DUS",3,0,0,57,0,0
282,79,"Sorau","FRA",30,2,0,104,39,0
283,36,"Spremberg","FRA",19,1,0,67,34,0
284,137,"Sprottau","LIE",8,0,0,31,7,0
285,8,"Stallupöhnen","GUM",2,0,0,6,1,0
286,15,"Stargard","DAN",1,0,0,24,13,0
287,108,"Steinau","BRE",10,1,0,33,1,0
288,194,"Steinfurt","MUN",11,3,0,21,0,1
289,151,"Stendal","MAG",4,1,0,8,0,0
290,72,"Sternberg","FRA",15,0,1,50,20,0
291,82,"Stettin","STE",0,0,0,2,1,0
292,92,"(Neu-)Stettin","KOS",7,1,0,52,4,0
293,97,"Stolp","KOS",12,3,0,75,12,0
294,13,"Strasburg","MAR",8,1,0,37,9,0
295,114,"Strehlen","BRE",3,0,0,41,1,0
296,123,"(Gross-)Strehlitz","OPP",7,13,0,76,11,0
297,119,"Striegau","BRE",3,2,3,24,1,0
298,11,"Stuhm","MAR",0,0,0,8,0,0
299,188,"Teklenburg","MUN",3,13,0,31,3,0
300,56,"Teltow","POT",13,3,0,35,16,0
301,52,"Templin","POT",17,6,1,27,13,0
302,12,"Thorn","MAR",1,3,0,26,2,0
303,8,"Tilsit","GUM",2,1,0,9,0,5
304,163,"Torgau","MER",15,2,0,84,32,0
305,125,"Tost","OPP",2,6,0,93,14,0
306,105,"Trebnitz","BRE",6,0,0,113,11,0
307,263,"Trier, Stadtkreis","TRI",0,6,0,8,1,0
308,264,"Trier, Landkreis","TRI",3,9,0,137,20,0
309,23,"Tscharnikow","BRO",9,1,1,43,7,0
310,32,"Uckermünde","STE",10,2,0,8,3,0
311,226,"Ukerath","KOL",3,5,0,45,0,0
312,81,"Usedom","STE",4,1,0,1,0,0
313,281,"St. Vith","AAC",0,0,0,31,2,0
314,225,"Waldbröl","KOL",1,1,0,31,0,0
315,30,"Waldenburg","BRE",8,1,0,109,37,0
316,156,"Wanzleben","MAG",2,10,1,43,0,0
317,207,"Warburg","MIN",4,0,0,51,4,0
318,189,"Warendorf","MUN",8,1,0,20,0,0
319,103,"Wartenberg","BRE",10,0,0,57,12,0
320,7,"Wehlau","KON",16,7,0,15,2,2
321,176,"Weissenfels","MER",11,2,0,76,7,0
322,184,"Weissensee","ERF",2,2,0,32,0,0
323,258,"Wetzlar","KOB",4,4,0,33,0,0
324,204,"Wiedenbrück","MIN",9,1,0,30,1,0
325,223,"Wipperfürth","KOL",0,2,0,32,0,0
326,22,"Wirlitz","BRO",11,0,0,27,8,0
327,165,"Wittenberg","MER",15,3,3,58,31,0
328,222,"Wittgenstein","ARN",1,0,0,34,11,0
329,262,"Wittlich","TRI",0,13,0,63,7,0
330,109,"Wohlau","BRE",14,0,0,71,0,0
331,157,"Wollmirstädt","MAG",6,1,0,22,0,0
332,49,"Wongrowiz","BRO",2,0,0,19,1,0
333,180,"Worbis","ERF",12,6,0,85,4,0
334,26,"Wreschen","POS",10,2,0,16,2,0
335,178,"Zeiz","MER",9,8,0,36,9,0
336,251,"Zell","KOB",1,0,0,101,1,0
337,186,"Ziegenrück","ERF",4,2,0,26,14,2
338,1,"Zinten","KON",12,1,0,20,10,0
339,73,"Züllichau","FRA",16,1,0,47,6,0
340,276,"Aachen","AAC",10,1,1,10,0,0
341,228,"Köln","KOL",0,0,1,4,0,0
342,193,"Münster","MUN",0,0,0,2,0,0
343,59,"Potsdam","POT",0,2,0,2,0,0
344,50,"Berlin","POT",2,10,0,11,1,0
