kreiskey1888,county,rb,edu1886_loc_pri,edu1886_loc_max,edu1886_loc_rea,edu1886_loc_dis,edu1886_loc_nvr,edu1886_loc_tot,edu1886_loc_awa,edu1886_dif_pri,edu1886_dif_max,edu1886_dif_rea,edu1886_dif_dis,edu1886_dif_nvr,edu1886_dif_tot,edu1886_dif_awa,edu1886_tot_you,edu1886_tot_old,edu1886_tot_pri,edu1886_tot_max,edu1886_tot_rea,edu1886_tot_dis,edu1886_tot_nvr,edu1886_tot_tot,edu1886_tot_awa,edu1886_stud_tot,edu1886_stud_m,edu1886_stud_f,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_stud_ger,edu1886_stud_pol,edu1886_stud_pag,edu1886_stud_lit,edu1886_stud_lag,edu1886_stud_wen,edu1886_stud_wag,edu1886_stud_sla,edu1886_stud_sag,edu1886_stud_dan,edu1886_stud_dag,edu1886_stud_oth,edu1886_stud_oag,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
529,"SANKT WENDEL","TRI",47,0,16,7,1,8188,0,3,0,8,0,0,1029,0,1171,9360,50,0,24,7,1,9217,0,9217,4703,4514,3703,3517,7220,4165,4956,0,96,9217,0,0,0,0,0,0,0,0,0,0,0,0,4241,3955,232,0,54,4719,47,4667,0,5,0,0,0,0,0,35,0,0,0,35,222,163,57,0,2
530,"ERKELENZ","AAC",683,32,289,12,0,6315,0,0,0,30,0,0,211,0,862,6487,683,32,319,12,0,6526,0,6526,3254,3272,2800,2734,5534,335,6174,0,17,6526,0,0,0,0,0,0,0,0,0,0,0,0,304,291,5,0,8,6222,44,6169,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,"HEINSBERG","AAC",53,0,204,28,5,5979,0,3,0,15,2,0,397,10,845,6226,56,0,219,30,5,6376,10,6376,3268,3108,2603,2446,5049,132,6206,0,38,6376,0,0,0,0,0,0,0,0,0,0,0,0,116,97,0,0,19,6260,35,6206,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,"GEILENKIRCHEN","AAC",28,6,76,17,20,4394,4,0,0,8,1,0,332,0,593,4632,28,6,84,18,20,4726,4,4726,2360,2366,1960,1932,3892,56,4618,0,52,4726,0,0,0,0,0,0,0,0,0,0,0,0,36,22,0,0,14,4690,34,4618,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,"JULICH","AAC",165,0,109,27,2,6498,0,0,0,5,0,1,583,12,917,7335,165,0,114,27,3,7081,12,7081,3555,3526,3141,3143,6284,134,6844,0,103,7081,0,0,0,0,0,0,0,0,0,0,0,0,122,110,0,0,12,6890,24,6844,0,22,0,0,0,0,0,69,0,0,0,69,0,0,0,0,0
534,"DUREN","AAC",399,0,557,38,0,11606,20,19,0,40,6,0,2446,2,1908,14254,418,0,597,44,0,14052,22,14052,7074,6978,4147,3933,8080,226,13636,0,190,14052,0,0,0,0,0,0,0,0,0,0,0,0,214,191,16,0,7,13785,35,13620,0,130,0,0,0,0,0,53,0,0,0,53,0,0,0,0,0
535,"AACHEN","AAC",1376,0,409,45,0,13299,55,0,0,0,0,0,0,0,2100,15688,1376,0,409,45,0,13299,55,13299,6627,6673,120,99,219,534,12677,0,88,13299,0,0,0,0,0,0,0,0,0,0,0,0,534,534,0,0,0,12677,0,12677,0,0,0,0,0,0,0,88,0,0,0,88,0,0,0,0,0
536,"AACHEN","AAC",581,21,1990,48,1,17890,35,3,0,325,6,0,2240,0,2950,21383,584,21,2315,54,1,20130,35,20130,10165,9965,3562,3289,6851,653,19410,0,67,20121,0,0,0,0,0,0,0,0,0,0,0,9,569,547,12,0,10,19531,106,19398,0,27,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0
537,"EUPEN","AAC",468,21,187,16,0,3987,0,40,0,13,0,0,244,0,607,4831,508,21,200,16,0,4231,0,4231,2166,2065,319,321,640,83,4148,0,0,4231,0,0,0,0,0,0,0,0,0,0,0,0,74,73,1,0,0,4157,10,4147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,"MONTJOIE","AAC",15,0,87,4,0,2813,50,3,0,25,2,0,615,2,400,3362,18,0,112,6,0,3428,52,3428,1737,1691,1338,1314,2652,147,3281,0,0,3428,0,0,0,0,0,0,0,0,0,0,0,0,143,143,0,0,0,3285,4,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,"SCHLEIDEN","AAC",29,0,302,43,2,7520,76,2,0,19,1,4,962,0,1108,8487,31,0,321,44,6,8482,76,8482,4265,4217,3829,3744,7573,312,8117,0,53,8481,0,0,0,0,0,0,0,0,0,0,0,1,305,291,0,0,14,8177,21,8117,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,"MALMEDY","AAC",85,0,116,46,17,5007,99,0,0,18,0,1,522,25,691,5612,85,0,134,46,18,5529,124,5529,2754,2775,2217,2207,4424,41,5484,0,4,4037,0,0,0,0,0,0,0,0,0,0,1355,137,15,15,0,0,0,5514,26,5484,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,"SIGMARINGEN","SIG",75,0,9,6,0,2925,0,5,0,0,0,0,823,49,479,3827,80,0,9,6,0,3748,49,3748,1811,1937,1513,1591,3104,114,3634,0,0,3748,0,0,0,0,0,0,0,0,0,0,0,0,78,78,0,0,0,3670,36,3634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,"GAMMERTINGEN","SIG",0,0,18,4,0,2382,19,0,0,0,0,0,156,0,323,2507,0,0,18,4,0,2538,19,2538,1216,1322,1216,1322,2538,17,2521,0,0,2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2538,17,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,"HECHINGEN","SIG",73,0,7,10,0,3902,0,0,0,0,0,0,0,0,494,3963,73,0,7,10,0,3902,0,3902,1969,1933,1839,1762,3601,108,3762,0,32,3902,0,0,0,0,0,0,0,0,0,0,0,0,89,89,0,0,0,3781,19,3762,0,0,0,0,0,0,0,32,0,0,0,32,0,0,0,0,0
544,"HAIGERLOCH","SIG",17,0,2,1,0,2185,8,0,0,0,0,0,0,0,270,2210,17,0,2,1,0,2185,8,2185,1080,1105,1080,1105,2185,38,2083,0,64,2185,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,2101,18,2083,0,0,0,0,0,0,0,64,0,0,0,64,0,0,0,0,0
