kreiskey1800,county,rb,pop181621_born_tot,pop181621_born_oow_tot,pop181621_stillborn_oow_tot,pop181621_died_un1_tot,pop181621_died_m_1to3,pop181621_died_f_1to3,pop181621_died_m_3to5,pop181621_died_f_3to5,pop181621_died_m_10to14,pop181621_died_f_10to14,pop181621_died_m_14to20,pop181621_died_f_14to20,pop181621_died_m_80to84,pop181621_died_f_80to84,pop181621_died_m_85to89,pop181621_died_f_85to89,pop181621_died_m_ov89,pop181621_died_f_ov89,pop181621_died_m_tot,pop181621_died_f_tot,pop181621_died_tot,pop181621_died_m_sui,pop181621_died_f_sui,pop181621_died_f_birth
21,"Inowrazlaw","BRO",9574,467,43,1337,455,374,164,143,55,42,63,66,43,35,23,23,24,22,2593,2181,4774,5,0,97
21,"Mogilno","BRO",3716,261,43,704,386,289,112,118,36,33,39,30,19,22,13,12,12,24,1576,1440,3016,5,2,58
22,"Flatow","MAR",5533,144,69,729,239,238,94,113,27,35,37,32,31,19,18,15,5,7,1456,1360,2816,0,0,69
22,"Kammin","MAR",2604,65,23,310,104,121,48,33,17,11,15,18,11,10,7,6,5,4,668,637,1305,0,0,24
22,"Wirlitz","BRO",4605,135,61,506,262,197,87,84,27,17,23,25,17,5,15,13,8,8,1149,1022,2171,0,0,40
22,"Wirlitz","BRO",6193,195,64,778,330,270,102,107,24,26,34,48,27,35,19,4,15,19,1563,1520,3083,0,0,64
23,"(Deutsch)Krone","MAR",3454,93,66,337,144,101,48,54,25,15,19,22,9,9,9,6,3,5,874,725,1599,1,2,15
23,"(Deutsch)Krone","MAR",5562,138,104,589,253,244,116,112,16,23,35,38,29,30,16,14,7,9,1443,1472,2915,4,0,55
23,"Chodzesen","BRO",5986,209,90,751,276,284,96,85,16,12,29,42,20,28,13,13,11,10,1434,1397,2831,1,1,74
23,"Tscharnikow","BRO",7409,247,132,849,312,293,147,144,36,36,60,59,34,36,13,12,11,11,1959,1801,3760,2,0,78
23,"Tscharnikow","BRO",4270,136,62,561,192,157,82,63,14,19,22,38,14,17,6,9,6,9,1102,994,2096,1,0,39
24,"Buk","POS",6473,316,99,1008,230,226,88,101,29,27,35,35,52,43,27,21,21,16,1854,1700,3554,8,1,64
24,"Posen","POS",1309,768,185,1745,458,422,162,144,50,58,87,77,48,72,23,23,10,36,3034,2874,5908,10,0,138
24,"Posen","POS",6852,525,71,1239,382,397,158,148,55,47,52,72,30,28,10,9,11,6,2299,2133,4432,5,0,78
24,"Samter","POS",5935,236,79,870,249,223,140,122,41,20,47,52,24,37,17,14,19,33,1668,1571,3239,0,0,56
25,"Birnbaum","POS",5406,358,93,772,239,223,136,135,27,27,64,41,20,26,11,12,16,15,1285,1513,3198,1,0,40
25,"Meseritz","POS",3828,244,67,549,195,148,64,53,20,24,24,25,17,15,2,7,4,6,1096,997,2093,1,0,32
25,"Meseritz","POS",5211,312,149,692,140,132,80,65,22,14,32,29,30,29,16,14,8,11,1379,1291,2670,2,0,39
26,"Peisern","POS",4129,207,14,748,231,206,77,81,16,23,34,29,18,22,7,5,17,4,1190,1125,2324,0,0,32
26,"Wreschen","POS",3906,150,51,604,162,131,44,52,19,22,26,25,16,27,8,8,11,13,1031,906,1937,1,0,32
27,"Bolkenhain","LIE",4975,380,298,1390,161,177,43,37,16,22,20,22,26,38,16,6,0,0,1843,1836,3679,12,1,52
27,"Bolkenhain","LIE",5705,377,272,1975,272,260,62,55,21,27,20,34,29,40,17,9,8,3,2458,2334,4792,12,2,64
27,"Landshut","LIE",6952,441,256,2504,278,290,55,52,21,20,25,35,43,40,15,9,8,4,2857,2822,5679,9,2,84
28,"Glaz","BRE",8288,682,179,1976,265,282,118,111,41,32,52,52,78,51,28,17,15,13,2987,2930,5917,18,4,41
28,"Glaz","BRE",11092,911,241,2612,402,380,144,147,52,43,67,64,90,58,35,27,21,12,3816,3744,7560,11,6,95
28,"Habelschwerdt","BRE",6606,659,108,1744,205,206,82,59,26,27,40,40,76,57,25,20,7,5,2408,2411,4819,7,1,62
29,"Hirschberg","LIE",8775,709,586,2695,297,323,71,63,31,25,40,48,70,46,26,28,10,2,3734,3817,7551,17,6,91
