kreiskey1866,county,rb,soil1866_are_tot,soil1866_are_loam_hig,soil1866_are_loam_riv,soil1866_are_gcl_hig,soil1866_are_gcl_riv,soil1866_are_cla_tot,soil1866_are_sloa,soil1866_are_san,soil1866_are_swamp,soil1866_are_wat,soil1866_are_lim
165,"NEUMARKT","BRE",12834,5146,3360,478,377,9361,1897,1295,159,122,0
166,"NEURODE","BRE",5757,5739,0,0,0,5739,0,0,0,18,0
167,"NIMPTSCH","BRE",6881,3740,0,259,2625,6624,185,47,0,25,32
168,"OLS","BRE",16318,0,0,0,0,0,8284,7908,0,126,0
169,"OHLAU","BRE",11186,0,327,0,660,987,6220,3716,129,134,0
170,"REICHENBACH","BRE",6568,6535,0,0,0,6535,0,0,0,33,0
171,"SCHWEIDNITZ LANDKREIS","BRE",10747,5095,3630,232,1294,10251,450,0,0,46,232
172,"STEINAU","BRE",7598,0,1263,0,0,1263,3100,3063,37,135,0
173,"STREHLEN","BRE",6251,2950,156,0,0,3106,2646,425,49,25,59
174,"STRIEGAU","BRE",5433,1785,302,0,3327,5414,0,0,0,19,0
175,"TREBNITZ","BRE",14922,3132,802,3178,0,7112,1970,5750,0,90,0
176,"WALDENBURG","BRE",6852,5946,692,122,0,6760,75,0,0,17,122
177,"GROSS WARTENBERG","BRE",14744,2280,325,0,0,2605,2624,8166,1070,279,0
178,"WOHLAU","BRE",14639,1610,388,59,832,2889,5015,5950,588,197,0
179,"BOLKENHAIN","LIE",6513,3886,0,1393,420,5699,786,0,0,28,576
180,"BUNZLAU","LIE",18869,1164,1100,111,99,2474,3495,11462,1345,93,256
181,"FREISTADT","LIE",15916,400,995,0,409,1804,5487,7849,411,365,0
182,"GLOGAU","LIE",16995,2622,0,0,3307,5929,6217,4208,401,240,0
183,"GORLITZ LANDKREIS","LIE",15907,3571,466,1532,0,5569,3234,6927,17,160,0
184,"GOLDBERG-HAINAU","LIE",11072,4108,621,2961,0,7690,874,2459,0,49,0
185,"GRUNBERG","LIE",15554,201,112,0,2308,2621,581,10992,1128,232,0
186,"HIRSCHBERG","LIE",10863,5736,0,352,120,6208,4535,0,0,120,0
187,"HOYERSWERDA","LIE",15754,0,48,0,10,58,3595,10642,822,637,0
188,"JAUER","LIE",5946,5784,0,148,0,5932,0,0,0,14,148
189,"LANDESHUT","LIE",7218,0,0,5322,1261,6583,619,0,0,16,332
190,"LAUBAN","LIE",9404,0,546,3215,409,4170,5174,0,0,60,0
191,"LIEGNITZ LANDKREIS","LIE",11586,5788,864,1629,208,8489,2986,0,0,111,0
192,"LOWENBERG","LIE",13597,446,1278,3229,507,5460,7381,0,671,85,1149
193,"LUBEN","LIE",11445,0,0,0,379,379,3310,6868,858,30,0
194,"ROTHENBURG","LIE",20603,766,0,0,0,766,5720,12884,626,607,0
195,"SAGAN","LIE",20137,547,1413,0,0,1960,10518,7476,0,183,0
196,"SCHONAU","LIE",6333,4258,0,1318,393,5969,331,0,0,33,755
