kreiskey1864,county,rb,edu1864_pub_ele_stud,edu1864_pub_mim_stud_m,edu1864_pub_mif_stud_f,edu1864_pub_rea_stud,edu1864_pub_pgy_stud,edu1864_pub_gym_stud,edu1864_pub_sem_par,edu1864_pri_ele_stud,edu1864_pri_hsm_stud_m,edu1864_pri_hsf_stud_f,edu1864_pri_voc_stud,edu1864_pri_sun_stud,edu1864_pri_kin_stud
210,"KALBE","MAG",12317,374,356,0,0,0,75,80,0,0,0,53,114
211,"MAGDEBURG","MAG",8426,2122,2294,569,0,1027,0,291,0,67,164,140,296
212,"WANZLEBEN","MAG",11451,0,0,0,0,0,0,163,0,0,0,0,23
213,"WOLMIRSTEDT","MAG",9480,0,0,0,0,0,0,99,2,0,0,0,107
214,"NEUHALDENSLEBEN","MAG",9118,0,0,0,0,0,0,16,0,17,0,22,69
215,"OSCHERSLEBEN","MAG",7258,302,0,0,0,0,0,163,0,0,93,0,0
216,"ASCHERSLEBEN","MAG",7986,852,916,177,0,302,0,310,71,100,6,53,140
217,"HALBERSTADT LANDKREIS","MAG",7461,248,433,398,0,261,53,106,0,75,46,18,50
218,"WERNIGERODE","MAG",2925,150,156,0,0,209,0,11,0,30,0,50,177
219,"LIEBENWERDA","MER",8659,0,0,0,0,0,57,0,0,0,0,0,0
220,"TORGAU","MER",10669,772,229,0,0,278,0,36,0,0,0,243,50
221,"SCHWEINITZ","MER",7674,273,269,0,0,0,0,0,0,16,0,0,0
222,"WITTENBERG","MER",10295,0,0,0,70,278,0,23,0,102,0,20,64
223,"BITTERFELD","MER",8677,583,553,0,0,0,0,15,0,0,0,30,0
224,"SAALKREIS","MER",11588,0,0,0,0,0,0,0,0,0,0,0,0
225,"DELITZSCH","MER",10398,316,405,169,0,0,0,47,0,6,0,181,105
226,"MANSFELDER GEBIRGSKR","MER",8257,0,0,0,0,0,0,0,0,0,0,0,0
227,"HALLE","MER",3285,1438,1523,518,122,803,0,0,0,122,55,100,297
228,"MANSFELDER SEEKREIS","MER",10960,307,283,0,0,191,46,134,0,0,34,43,119
229,"SANGERHAUSEN","MER",11739,223,166,0,0,0,0,0,0,0,0,36,143
230,"ECKARTSBERGA","MER",7519,0,0,0,28,0,0,63,92,0,0,0,0
231,"QUERFURT","MER",9292,369,358,0,0,104,0,0,42,24,0,11,0
232,"MERSEBURG","MER",11023,500,560,0,0,194,0,49,34,0,0,123,227
233,"WEISSENFELS LANDKREIS","MER",9483,616,633,0,0,0,155,44,85,0,0,0,80
234,"NAUMBURG","MER",4250,0,135,92,0,444,0,35,0,0,0,60,139
235,"ZEITZ LANDKREIS","MER",5818,572,709,110,0,196,0,0,0,0,0,44,137
236,"NORDHAUSEN LANDKREIS","ERF",10141,0,0,221,0,272,0,0,10,0,0,245,70
237,"WORBIS","ERF",7712,0,0,0,0,0,0,9,0,29,10,0,0
238,"HEILIGENSTADT","ERF",6928,0,0,0,0,175,29,0,0,30,0,0,42
239,"MUHLHAUSEN LANDKREIS","ERF",7399,565,522,0,0,205,9,11,0,0,84,90,106
240,"LANGENSALZA","ERF",4883,566,323,108,0,0,0,32,0,294,0,62,42
241,"WEISSENSEE","ERF",5117,0,0,0,0,0,0,64,0,0,0,0,0
242,"ERFURT LANDKREIS","ERF",7760,0,355,570,0,234,68,0,0,0,87,124,0
243,"ZIEGENRUCK","ERF",2802,0,0,0,0,0,0,0,0,0,0,65,0
244,"SCHLEUSINGEN","ERF",6073,130,115,0,0,84,0,0,0,0,0,257,0
245,"TECKLENBURG","MUN",7943,50,0,0,0,0,0,36,54,0,0,63,38
246,"WARENDORF","MUN",4550,0,0,0,0,268,0,5,0,55,0,53,0
247,"BECKUM","MUN",5933,74,0,0,0,0,0,82,42,0,0,0,0
248,"LUDINGHAUSEN","MUN",6120,0,0,0,0,0,0,46,63,0,14,0,0
249,"MUNSTER LANDKREIS","MUN",5286,0,0,0,0,0,0,4,96,40,0,0,0
250,"MUNSTER STADTKREIS","MUN",3286,0,0,253,0,632,34,79,0,96,19,171,194
251,"STEINFURT","MUN",6872,0,0,40,0,221,35,34,50,18,0,50,70
252,"KOESFELD","MUN",6116,51,0,0,0,114,0,209,0,58,0,0,41
253,"AHAUS","MUN",5984,0,0,0,39,0,0,0,21,0,0,92,0
254,"BORKEN","MUN",6350,70,0,0,0,0,0,46,20,10,0,33,109
255,"RECKLINGHAUSEN LANDKREIS","MUN",8294,7,0,0,61,128,0,97,12,83,0,180,98
256,"MINDEN","MIN",12242,0,158,0,0,267,68,114,62,34,15,51,84
257,"LUBBECKE","MIN",8527,0,0,0,0,0,0,50,32,17,0,0,0
258,"HERFORD","MIN",11457,0,0,0,0,152,0,50,28,81,0,157,215
259,"HALLE","MIN",5015,0,0,0,0,0,0,63,10,3,0,0,0
260,"BIELEFELD LANDKREIS","MIN",7777,0,122,0,0,386,0,83,0,80,47,74,81
261,"WIEDENBRUCK","MIN",6985,38,0,0,47,198,0,7,0,28,0,147,89
262,"PADERBORN","MIN",6145,0,0,0,0,719,19,70,0,154,0,328,110
263,"BUREN","MIN",6986,0,0,0,0,0,75,14,0,0,0,0,0
264,"WARBURG","MIN",5819,0,12,0,105,0,0,63,0,0,0,63,0
265,"HOXTER","MIN",8975,23,0,0,0,0,0,138,143,86,0,92,80
266,"ARNSBERG","ARN",6039,19,0,0,0,228,0,20,0,56,0,102,0
267,"MESCHEDE","ARN",4866,84,0,0,0,0,0,132,0,0,0,136,0
268,"BRILON","ARN",6840,0,0,0,0,235,0,49,0,0,0,74,0
269,"LIPPSTADT","ARN",5915,52,0,255,0,0,0,73,0,40,0,205,210
270,"SOEST","ARN",7535,44,0,0,0,225,73,278,0,61,0,243,200
271,"HAMM LANDKREIS","ARN",8513,85,0,0,0,196,0,80,0,110,0,225,187
272,"DORTMUND LANDKREIS","ARN",14880,198,0,96,0,294,0,113,0,66,0,499,156
273,"BOCHUM LANDKREIS","ARN",14656,193,0,0,0,0,0,196,119,70,35,139,249
274,"HAGEN LANDKREIS","ARN",16512,169,89,187,0,0,0,133,56,24,46,473,223
275,"ISERLOHN","ARN",7392,272,0,0,0,0,0,81,17,68,27,302,21
276,"ALTENA","ARN",8448,47,41,66,0,0,0,102,17,44,18,584,109
277,"OLPE","ARN",4846,56,0,0,74,0,0,21,7,0,0,84,0
278,"SIEGEN","ARN",8721,19,0,189,0,0,0,95,43,30,120,426,41
279,"WITTGENSTEIN","ARN",3748,0,0,0,0,0,0,104,0,0,0,44,25
280,"WIPPERFURTH","KOL",4324,0,0,23,45,0,0,36,0,0,0,0,0
281,"WALDBROL","KOL",3894,0,0,0,0,0,0,10,12,0,16,0,0
282,"GUMMERSBACH","KOL",5446,0,0,20,0,0,0,26,0,0,0,0,50
283,"SIEGKREIS","KOL",13246,25,0,0,109,0,0,113,18,68,0,84,53
284,"MULHEIM RHEIN LANDKREIS","KOL",8420,0,0,111,166,0,0,44,33,48,60,45,70
285,"KOLN STADTKREIS","KOL",16029,0,0,671,0,1215,0,671,47,1160,324,483,611
286,"KOLN LANDKREIS","KOL",11818,0,0,0,0,0,100,171,64,0,0,60,44
287,"BERGHEIM","KOL",7093,46,0,0,54,25,0,89,31,11,0,38,38
288,"EUSKIRCHEN","KOL",6585,93,0,0,0,0,0,49,26,0,0,0,0
289,"RHEINBACH","KOL",5297,0,0,0,0,209,0,0,56,51,0,0,0
290,"BONN LANDKREIS","KOL",9488,0,0,0,0,433,0,192,96,394,14,145,222
291,"KLEVE","DUS",7939,0,86,47,0,127,0,108,158,10,0,177,245
292,"REES","DUS",8604,61,0,0,0,322,0,18,32,252,0,140,797
293,"KREFELD LANDKREIS","DUS",12313,0,319,459,0,0,0,22,0,5,50,178,542
294,"DUISBURG","DUS",17052,0,89,500,0,195,0,147,98,196,0,502,740
295,"ESSEN LANDKREIS","DUS",12846,0,154,203,50,334,0,140,0,75,0,120,478
296,"MORS","DUS",9906,37,0,0,118,0,38,101,75,57,0,0,289
297,"GELDERN","DUS",7636,0,17,0,0,0,0,0,36,0,0,0,0
298,"KEMPEN","DUS",12332,0,0,21,0,127,97,0,107,24,0,102,30
299,"DUSSELDORF LANDKREIS","DUS",14603,0,0,393,0,365,47,289,192,649,100,269,956
300,"METTMANN","DUS",8223,44,16,0,0,0,0,14,96,14,0,0,293
301,"ELBERFELD","DUS",7862,0,203,391,0,295,0,526,0,225,123,379,786
302,"BARMEN","DUS",8044,0,302,416,76,0,0,80,0,0,147,367,1303
303,"LENNEP","DUS",13047,78,0,152,0,0,0,78,75,29,0,0,116
304,"SOLINGEN LANDKREIS","DUS",13909,0,0,235,0,0,0,156,61,89,0,0,54
305,"NEUSS","DUS",6905,0,0,0,0,324,0,102,47,52,0,154,259
