kreiskey1849,county,rb,rel1849_pro_religious_teach,edu1849_pub_ele_tea_m,edu1849_pub_ele_tea_help,edu1849_pub_ele_tea_f,edu1849_pub_mim_tea_m,edu1849_pub_mim_tea_help,edu1849_pub_mif_tea_m,edu1849_pub_mif_tea_f,edu1849_pub_mif_tea_help_m,edu1849_pub_mif_tea_help_f,edu1849_pub_high_tea_m,edu1849_pub_high_tea_help,edu1849_pub_pgy_tea_m,edu1849_pub_pgy_tea_help,edu1849_pub_gym_tea_m,edu1849_pub_gym_tea_help
298,"Grevenbroich","DUS",0,49,12,1,0,0,0,0,0,0,0,0,0,0,0,0
299,"Gladbach","DUS",0,58,15,0,6,1,0,3,0,1,4,2,4,0,0,0
300,"Simmern","KOB",0,121,0,0,0,0,0,0,0,0,4,3,0,0,0,0
301,"Coblenz","KOB",0,67,0,27,0,0,0,0,0,0,8,0,0,0,16,2
302,"St. Goar","KOB",0,76,1,3,0,0,0,1,0,0,4,0,0,0,0,0
303,"Kreuznach","KOB",0,123,12,3,1,0,0,6,10,0,4,3,0,0,7,3
304,"Zell","KOB",0,59,1,1,0,0,0,0,0,0,0,0,5,2,0,0
305,"Kochheim","KOB",1,69,0,4,0,0,0,0,0,0,0,0,0,0,0,0
306,"Mayen","KOB",0,81,0,16,0,0,0,0,0,0,3,4,0,0,0,0
307,"Adenau","KOB",0,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"Ahrweiler","KOB",0,60,2,5,0,0,0,10,0,9,0,0,0,0,0,0
309,"Neuwied","KOB",0,102,14,12,7,5,0,18,4,0,4,1,3,2,0,0
310,"Altenkirchen","KOB",0,51,68,0,0,0,0,0,0,0,1,0,0,0,0,0
311,"Wetzlar","KOB",3,85,3,2,1,0,1,0,0,0,0,0,0,0,8,1
312,"Daun","TRI",0,59,0,2,0,0,0,0,0,0,0,0,0,0,0,0
313,"Prüm","TRI",0,57,1,4,0,0,0,0,0,0,0,0,0,0,0,0
314,"Bitburg","TRI",0,76,8,6,0,0,0,0,0,0,0,0,0,0,0,0
315,"Wittlich","TRI",0,57,19,4,0,0,0,0,0,0,0,0,0,0,0,0
316,"Trier (Stadt)","TRI",0,23,8,12,0,0,2,3,2,1,7,6,0,0,12,4
317,"Trier (Land)","TRI",0,114,6,8,0,0,0,0,0,0,0,0,0,0,0,0
318,"Berncastel","TRI",0,83,8,10,4,1,0,0,0,0,0,0,0,0,0,0
319,"Saarburg","TRI",0,57,1,11,0,0,0,0,0,0,0,0,0,0,0,0
320,"Merzig","TRI",0,54,4,10,0,0,0,0,0,0,0,0,0,0,0,0
321,"Saarlouis","TRI",0,65,5,21,0,0,0,0,0,0,3,0,0,0,0,0
322,"Saarbrücken","TRI",1,74,1,3,0,3,2,2,1,0,0,0,0,0,13,0
323,"Ottweiler","TRI",0,61,0,5,0,0,0,0,0,0,0,0,0,0,0,0
324,"St. Wendel","TRI",0,90,7,4,0,0,0,0,0,0,2,3,0,0,0,0
325,"Erkelens","AAC",0,52,8,0,0,0,0,0,0,0,0,0,4,0,0,0
326,"Heinsberg","AAC",0,48,9,0,0,0,0,0,0,0,0,0,0,0,0,0
327,"Geilenkirchen","AAC",0,38,7,0,2,0,0,0,0,0,0,0,0,0,0,0
328,"Jülich","AAC",0,58,14,4,0,0,0,0,0,0,3,0,0,0,0,0
329,"Düren","AAC",0,76,17,11,0,0,0,3,0,0,0,0,0,0,8,3
330,"Stadt Aachen","AAC",0,43,6,34,0,0,3,14,14,0,10,4,0,0,10,6
331,"Landkreis Aachen","AAC",0,77,8,2,0,0,0,0,0,0,0,0,0,0,0,0
332,"Eupen","AAC",0,21,5,3,0,0,0,5,0,0,4,1,0,0,0,0
333,"Montjoie","AAC",0,31,1,2,0,0,0,0,0,0,2,0,0,0,0,0
334,"Schleiden","AAC",0,69,13,0,0,0,0,0,0,0,0,0,0,0,0,0
335,"Malmedy","AAC",0,65,8,4,0,0,0,2,0,2,4,2,0,0,0,0
