id1819,kreiskey1800,county,rb,fac1819_looms_silk_looms,fac1819_looms_cotton_looms,fac1819_looms_wool_looms,fac1819_looms_linen_looms,fac1819_looms_hosiery_looms,fac1819_looms_band_looms,fac1819_looms_se_linen_looms,fac1819_looms_se_shag_looms,fac1819_looms_se_others_looms
211,115,"Nimptsch","BRE",0,5,2,33,0,3,3,54,0
212,179,"Nordhausen","ERF",0,0,57,86,4,0,892,0,0
213,42,"Obernik","POS",0,0,34,13,0,0,24,10,0
214,104,"Oels","BRE",0,0,134,64,2,4,125,1,0
215,112,"Ohlau","BRE",0,0,13,8,1,1,161,0,0
216,9,"Oletzko","GUM",0,0,0,10,1,0,1971,4,0
217,220,"Olpe","ARN",1,3,8,41,5,0,58,0,0
218,122,"Oppeln","OPP",0,0,1,158,0,0,23,0,0
219,4,"Ortelsburg","KON",0,0,34,2,0,0,2607,0,0
220,159,"Oschersleben","MAG",0,0,0,89,0,0,395,0,0
221,148,"Osterburg","MAG",0,0,0,80,0,0,308,0,0
222,3,"Osterode","KON",0,0,49,13,0,0,2502,20,0
223,37,"Osterwiek","MAG",0,8,46,139,2,2,329,17,2
224,270,"Ottweiler","TRI",0,26,4,36,2,0,132,0,0
225,205,"Paderborn","MIN",0,0,1,9,1,0,507,0,0
226,8,"Pillkallen","GUM",0,0,2,23,0,0,2119,0,0
227,84,"Piritz","STE",0,0,8,53,0,0,1117,0,4
228,33,"Pleschen","POS",0,0,0,0,0,0,0,0,0
229,31,"Pless","OPP",0,0,70,34,1,0,21,0,0
230,24,"Posen","POS",0,0,15,33,0,0,15,0,0
231,51,"Prenzlow","POT",0,0,59,418,1,0,1,0,0
232,63,"(Ost-)Priegnitz","POT",0,0,188,28,2,0,210,0,0
233,64,"(West-)Priegnitz","POT",0,0,15,59,0,0,29,3,0
234,260,"Prüm","TRI",0,0,21,7,0,0,623,25,0
235,174,"Querfurt","MER",0,0,39,413,2,2,0,0,0
236,8,"Ragnit","GUM",0,0,0,5,0,0,311,0,0
237,200,"Rahden","MIN",0,0,0,11,0,0,1983,0,0
238,82,"Randow","STE",0,0,3,85,16,6,581,2,1
239,5,"Rastenburg","KON",0,0,6,2,0,0,2232,0,0
240,127,"Ratibor","OPP",0,2,69,88,16,0,101,0,2
241,198,"Recklinghausen","MUN",0,6,41,185,33,0,387,0,0
242,235,"Rees","DUS",0,14,11,15,14,0,26,3,0
243,89,"Regenwalde","STE",0,0,19,3,0,0,1652,0,1
244,118,"Reichenbach","BRE",0,2222,315,352,7,31,93,43,86
245,232,"Rheinbach","KOL",0,0,63,134,3,0,0,0,0
246,237,"Rheinberg","DUS",0,59,34,36,2,40,85,0,0
247,31,"Ribnik","OPP",0,0,61,66,0,0,0,0,0
248,2,"Rössel","KON",0,0,26,2,0,0,1921,0,0
249,17,"Rosenberg","MAR",0,0,58,10,0,0,10,0,0
250,121,"Rosenberg","OPP",0,0,15,4,1,1,0,0,0
251,147,"Rothenburg","LIE",0,1,1,29,0,0,57,0,1
252,96,"Rummelsburg","KOS",0,0,81,16,0,0,446,0,0
253,62,"Ruppin","POT",0,1,174,370,0,0,4,0,0
254,168,"Saalkreis","MER",0,0,0,218,0,0,0,0,0
255,269,"Saarbrücken","TRI",0,0,13,126,4,0,14,0,0
256,266,"Saarburg","TRI",0,0,4,104,2,0,44,0,0
257,268,"Saarlouis","TRI",0,0,13,125,2,0,52,9,2
258,85,"Saazig","STE",0,0,34,11,2,0,2577,8,0
259,136,"Sagan","LIE",0,0,109,169,1,0,174,4,0
260,149,"Salzwedel","MAG",0,1,90,52,2,0,0,0,0
261,24,"Samter","POS",0,0,60,6,0,0,13,5,0
262,172,"Sangerhausen","MER",0,2,8,370,0,0,203,0,0
263,90,"Schiefelbein","KOS",0,0,14,4,0,0,529,0,0
264,43,"Schildberg","POS",0,0,21,4,0,0,19,0,0
265,95,"Schlawe","KOS",0,6,11,15,0,0,2133,0,0
266,187,"Schleusingen","ERF",0,143,262,107,8,1,0,0,231
267,14,"Schlochau","MAR",0,0,24,19,0,0,18,0,0
268,29,"Schönau","LIE",0,0,1,258,1,0,201,0,0
269,40,"Schrimm","POS",0,0,12,56,0,0,56,6,0
270,39,"Schrodda","POS",0,0,3,10,0,0,17,0,0
271,20,"Schubin","BRO",0,0,73,19,0,0,271,1,0
272,30,"Schweidnitz","BRE",4,421,69,167,2,18,154,0,14
273,164,"Schweinitz","MER",0,2,13,76,3,1,15,0,0
274,14,"Schwetz","MAR",0,0,0,72,0,0,94,1,0
275,10,"Sensburg","GUM",0,0,0,2,0,0,2130,0,0
276,226,"Siegburg","KOL",0,1,2,98,4,0,117,1,0
277,221,"Siegen","ARN",0,497,38,162,15,0,373,0,0
278,247,"Simmern","KOB",0,0,2,53,48,0,363,0,0
279,213,"Soest","ARN",0,4,9,322,1,0,51,0,1
280,66,"Soldin","FRA",0,0,62,87,0,0,18,1,0
281,243,"Solingen","DUS",163,221,27,83,10,0,90,0,0
282,79,"Sorau","FRA",0,0,86,606,0,2,320,1,8
283,36,"Spremberg","FRA",0,0,88,42,0,7,59,1,0
284,137,"Sprottau","LIE",0,0,35,15,12,2,18,1,0
285,8,"Stallupöhnen","GUM",0,1,0,57,0,0,2130,0,0
286,15,"Stargard","DAN",0,0,3,32,0,0,21,0,0
287,108,"Steinau","BRE",0,1,146,32,8,0,45,0,0
288,194,"Steinfurt","MUN",0,2,55,305,2,0,897,0,0
289,151,"Stendal","MAG",0,2,60,16,1,0,312,0,0
290,72,"Sternberg","FRA",0,0,317,34,1,0,1900,0,0
291,82,"Stettin","STE",0,0,3,22,1,0,9,0,2
292,92,"(Neu-)Stettin","KOS",0,0,101,6,0,0,1501,0,0
293,97,"Stolp","KOS",0,0,11,117,0,0,1193,2,0
294,13,"Strasburg","MAR",0,0,44,12,0,0,962,0,0
295,114,"Strehlen","BRE",2,154,6,27,6,0,68,1,50
296,123,"(Gross-)Strehlitz","OPP",0,0,1,125,0,2,18,0,1
297,119,"Striegau","BRE",0,0,12,36,4,8,51,0,1
298,11,"Stuhm","MAR",0,0,7,14,0,0,3,0,0
299,188,"Teklenburg","MUN",0,0,6,46,6,0,2439,3,0
300,56,"Teltow","POT",26,443,23,295,2,2,211,0,0
301,52,"Templin","POT",0,2,18,250,13,0,7,2,0
302,12,"Thorn","MAR",0,0,4,15,1,0,231,0,7
303,8,"Tilsit","GUM",0,0,14,21,1,0,1131,338,0
304,163,"Torgau","MER",0,0,21,94,4,0,65,0,0
305,125,"Tost","OPP",0,0,78,72,0,0,0,0,0
306,105,"Trebnitz","BRE",0,0,37,33,0,3,227,0,0
307,263,"Trier, Stadtkreis","TRI",0,0,24,34,8,0,0,0,0
308,264,"Trier, Landkreis","TRI",0,0,2,79,1,0,163,0,0
309,23,"Tscharnikow","BRO",0,0,295,5,0,0,2,0,0
310,32,"Uckermünde","STE",0,0,7,109,0,0,295,0,0
311,226,"Ukerath","KOL",0,0,0,0,0,0,102,3,0
312,81,"Usedom","STE",0,0,3,30,0,0,964,17,0
313,281,"St. Vith","AAC",0,0,1,2,0,0,0,0,0
314,225,"Waldbröl","KOL",0,0,1,5,0,0,105,0,0
315,30,"Waldenburg","BRE",1,306,0,1452,2,9,584,0,0
316,156,"Wanzleben","MAG",0,0,0,72,0,0,0,0,0
317,207,"Warburg","MIN",0,0,0,0,0,0,289,1,0
318,189,"Warendorf","MUN",0,125,16,386,2,0,1047,0,0
319,103,"Wartenberg","BRE",0,1,129,58,0,5,167,2,0
320,7,"Wehlau","KON",0,0,3,3,0,0,2211,0,0
321,176,"Weissenfels","MER",0,0,0,33,4,7,69,0,0
322,184,"Weissensee","ERF",0,3,14,70,0,0,85,1,0
323,258,"Wetzlar","KOB",0,0,12,22,2,0,434,0,0
324,204,"Wiedenbrück","MIN",0,4,0,143,3,0,38,0,0
325,223,"Wipperfürth","KOL",0,1,36,5,5,0,14,0,1
326,22,"Wirlitz","BRO",0,0,53,12,2,0,10,0,0
327,165,"Wittenberg","MER",0,0,57,131,6,0,36,0,0
328,222,"Wittgenstein","ARN",0,14,64,43,0,0,43,12,0
329,262,"Wittlich","TRI",0,0,11,134,1,0,2,0,0
330,109,"Wohlau","BRE",0,0,11,50,0,0,98,0,0
331,157,"Wollmirstädt","MAG",0,0,0,36,1,0,370,0,1
332,49,"Wongrowiz","BRO",0,0,15,10,0,0,62,5,0
333,180,"Worbis","ERF",0,1,9,331,7,0,630,0,0
334,26,"Wreschen","POS",0,0,6,21,0,0,261,1,0
335,178,"Zeiz","MER",6,130,24,20,1,0,16,0,0
336,251,"Zell","KOB",0,0,3,60,11,0,25,2,0
337,186,"Ziegenrück","ERF",12,102,7,40,9,0,29,0,0
338,1,"Zinten","KON",0,0,12,2,0,0,1798,0,0
339,73,"Züllichau","FRA",0,0,461,16,3,0,1239,0,0
340,276,"Aachen","AAC",0,2,842,20,3,0,0,0,3
341,228,"Köln","KOL",181,143,75,64,19,13,0,0,0
342,193,"Münster","MUN",0,0,6,17,0,0,0,0,13
343,59,"Potsdam","POT",39,100,24,52,27,11,9,1,0
344,50,"Berlin","POT",1122,2957,499,63,260,1439,1,1,11
