kreiskey1882,county,rb,occ1882_se_agr_pr,occ1882_emp_agr_pr,occ1882_se_for_pr,occ1882_emp_for_pr,occ1882_se_agr_cat,occ1882_emp_agr_cat,occ1882_se_for_cat,occ1882_emp_for_cat,occ1882_se_agr_jew,occ1882_emp_agr_jew,occ1882_se_for_jew,occ1882_emp_for_jew,occ1882_se_agr_tot,occ1882_emp_agr_tot,occ1882_se_for_tot,occ1882_emp_for_tot
192,"LOWENBERG","LIE",4150,7439,5,182,1271,2711,0,45,0,0,0,0,5423,10150,5,227
193,"LAUBAN","LIE",3459,6723,2,96,453,743,0,14,0,1,0,0,3916,7467,2,110
194,"GORLITZ","LIE",126,527,9,5,8,30,1,0,1,0,0,0,136,557,10,5
195,"GORLITZ","LIE",3868,9332,3,166,19,171,0,8,0,0,0,0,3888,9504,3,174
196,"ROTHENBURG","LIE",4356,7823,7,296,12,27,1,6,0,0,0,0,4368,7850,8,302
197,"HOYERSWERDA","LIE",3191,4456,9,58,416,570,2,11,0,0,0,0,3607,5026,11,69
198,"KREUZBURG","OPP",1522,6718,3,57,518,2734,4,28,1,5,0,0,2041,9457,7,85
199,"ROSENBERG","OPP",341,1066,4,75,3101,8588,0,271,6,7,0,0,3448,9661,4,346
200,"OPPELN","OPP",687,1046,10,126,7313,14891,6,763,5,7,0,0,8005,15944,16,889
201,"GROSS STREHLITZ","OPP",93,129,3,27,3438,11166,6,291,3,2,0,0,3534,11297,9,318
202,"LUBLINITZ","OPP",79,129,3,45,3699,8580,6,585,11,6,0,0,3789,8715,9,630
203,"TOST-GLEIWITZ","OPP",19,63,7,36,4282,14120,3,394,0,1,0,1,4301,14184,10,431
204,"TARNOWITZ","OPP",13,40,3,22,882,3223,3,259,2,1,0,0,897,3264,6,282
205,"BEUTHEN","OPP",12,72,1,2,578,2613,1,33,1,2,0,0,591,2687,2,35
206,"ZABRZE","OPP",6,21,1,4,517,1632,1,38,3,1,0,0,526,1654,2,42
207,"KATTOWITZ","OPP",12,49,2,5,799,2469,2,70,3,6,0,0,814,2524,4,75
208,"PLESS","OPP",633,1258,6,52,6571,15945,2,491,23,5,0,0,7227,17208,8,543
209,"RYBNIK","OPP",210,244,2,25,6067,12894,3,364,10,6,0,0,6287,13144,5,389
210,"RATIBOR","OPP",56,112,1,7,7150,22128,19,318,12,0,0,0,7218,22240,20,325
211,"KOSEL","OPP",31,99,4,19,4317,13458,8,238,1,1,0,0,4349,13558,12,257
212,"LEOBSCHUTZ","OPP",552,852,0,2,4904,13361,1,26,2,0,0,0,5458,14213,1,28
213,"NEUSTADT","OPP",434,844,4,14,5608,13483,0,281,1,0,0,0,6043,14327,4,295
214,"FALKENBERG","OPP",1003,2180,4,37,1982,5821,3,255,2,2,0,0,2987,8003,7,292
215,"NEISSE","OPP",20,91,2,3,5340,15847,10,31,1,1,0,0,5362,15939,12,34
216,"GROTTKAU","OPP",74,285,0,13,2832,8412,4,49,1,0,0,0,2907,8697,4,62
217,"OSTERBURG","MAG",2853,9013,23,52,2,120,0,3,0,1,0,0,2856,9139,23,55
218,"SALZWEDEL","MAG",4210,8800,6,42,1,53,0,1,0,0,0,0,4212,8853,6,43
219,"GARDELEGEN","MAG",3634,7502,7,271,1,18,0,0,0,0,0,0,3635,7520,7,271
220,"STENDAL","MAG",2473,7615,22,100,0,100,0,1,0,0,0,0,2473,7715,22,101
221,"JERICHOW I","MAG",2429,9555,19,152,7,165,1,1,0,1,0,0,2436,9722,20,154
222,"JERICHOW II","MAG",2455,8870,45,155,0,182,0,2,0,0,0,0,2456,9053,45,158
223,"KALBE","MAG",1602,8561,26,66,1,1153,0,0,0,0,0,0,1603,9716,26,66
224,"WANZLEBEN","MAG",1538,11368,0,21,17,4547,0,0,0,0,0,0,1555,15915,0,21
225,"MAGDEBURG","MAG",273,1147,13,43,10,97,0,2,0,0,0,0,288,1250,13,46
226,"WOLMIRSTEDT","MAG",1812,8683,7,99,7,435,0,2,0,0,0,0,1819,9118,7,101
227,"NEUHALDENSLEBEN","MAG",1525,8938,3,157,3,1475,0,2,0,0,0,0,1528,10413,3,159
228,"OSCHERSLEBEN","MAG",1415,7804,7,31,21,2234,1,2,0,1,0,0,1436,10040,8,33
229,"ASCHERSLEBEN","MAG",1446,8718,7,84,7,960,0,0,1,0,0,0,1455,9678,7,84
230,"HALBERSTADT","MAG",1830,7198,3,17,14,739,0,0,0,0,0,0,1846,7943,3,17
231,"WERNIGERODE","MAG",668,2014,9,241,1,7,0,4,0,0,0,0,669,2024,9,245
232,"LIEBENWERDA","MER",3231,6330,17,95,1,44,0,0,0,0,0,0,3232,6374,17,95
233,"TORGAU","MER",2551,8071,29,140,1,71,0,1,0,1,0,0,2552,8143,29,141
234,"SCHWEINITZ","MER",3350,6872,7,95,0,37,0,1,0,0,0,0,3350,6909,7,96
235,"WITTENBERG","MER",2380,6623,19,79,1,17,0,0,0,0,0,0,2381,6641,19,80
236,"BITTERFELD","MER",1904,5649,8,128,3,49,0,2,0,0,0,0,1907,5698,8,130
237,"SAALKREIS","MER",2279,9182,17,28,1,272,0,0,0,0,0,0,2280,9455,17,28
238,"HALLE","MER",91,322,21,7,1,49,0,2,0,1,0,0,92,372,21,9
239,"DELITZSCH","MER",2393,9205,5,72,1,55,0,1,0,0,0,0,2394,9260,5,73
