kreiskey1864,county,rb,edu1864_pub_ele_sc,edu1864_pub_mim_sc,edu1864_pub_mif_sc,edu1864_pub_rea_sc,edu1864_pub_pgy_sc,edu1864_pub_gym_sc,edu1864_pub_sem_sc,edu1864_pri_ele_sc,edu1864_pri_hsm_sc,edu1864_pri_hsf_sc,edu1864_pri_voc_sc,edu1864_pri_sun_sc,edu1864_pri_kin_sc
317,"NEUWIED","KOB",103,1,0,"1",1,0,1,2,3,6,0,2,2
318,"ALTENKIRCHEN","KOB",110,2,0,"0",0,0,0,1,1,1,0,0,0
319,"WETZLAR","KOB",96,1,0,"0",0,1,0,2,1,2,0,1,2
320,"DAUN","TRI",64,0,0,"0",0,0,0,0,0,0,0,0,0
321,"PRUM","TRI",66,0,0,"0",1,0,0,1,0,0,0,0,0
322,"BITBURG","TRI",82,1,0,"0",0,0,0,1,0,0,1,0,0
323,"WITTLICH","TRI",64,0,0,"1",0,0,0,1,0,0,0,0,0
324,"BERNKASTEL","TRI",78,0,0,"0",0,0,0,8,1,0,0,0,0
325,"TRIER STADTKREIS","TRI",8,0,1,"1",0,1,0,1,0,3,0,1,2
326,"TRIER LANDKREIS","TRI",113,0,0,"0",0,0,0,4,0,1,0,0,0
327,"SAARBURG","TRI",58,0,0,"0",0,0,0,0,0,0,0,0,0
328,"MERZIG","TRI",52,0,0,"0",0,0,0,1,2,0,0,0,0
329,"SAARLOUIS","TRI",59,0,1,"1",0,0,0,1,0,0,0,1,3
330,"SAARBRUCKEN","TRI",62,3,7,"0",0,1,0,0,0,2,1,10,2
331,"OTTWEILER","TRI",51,0,0,"1",0,0,0,7,1,0,0,1,2
332,"SANKT WENDEL","TRI",91,0,0,"0",1,0,0,3,0,0,0,0,0
333,"ERKELENZ","AAC",48,0,0,"0",1,0,0,0,0,0,0,1,1
334,"HEINSBERG","AAC",47,1,0,"0",0,0,0,1,0,0,0,1,1
335,"GEILENKIRCHEN","AAC",35,0,0,"0",0,0,0,3,2,1,0,1,1
336,"JULICH","AAC",64,1,0,"0",1,0,0,2,0,1,0,2,1
337,"DUREN","AAC",82,0,0,"1",0,1,0,0,1,1,1,2,3
338,"AACHEN STADTKREIS","AAC",42,1,1,"1",0,1,0,0,2,6,1,1,8
339,"AACHEN LANDKREIS","AAC",76,1,0,"0",0,0,0,2,2,0,0,2,3
340,"EUPEN","AAC",17,0,0,"1",0,0,0,2,1,2,0,1,2
341,"MONTJOIE","AAC",27,0,1,"0",0,0,0,1,2,0,0,0,1
342,"SCHLEIDEN","AAC",89,0,0,"0",0,0,0,2,0,0,0,0,0
343,"MALMEDY","AAC",77,0,0,"0",0,0,0,3,0,0,0,0,1
344,"SIGMARINGEN","AAC",49,0,0,"0",0,1,1,1,0,1,0,7,0
345,"GAMMERTINGEN","AAC",37,0,0,"0",0,0,0,0,0,0,0,0,0
346,"HECHINGEN","AAC",45,0,0,"1",0,0,0,0,0,0,0,27,1
347,"HAIGERLOCH","AAC",28,0,0,"0",0,0,0,0,0,0,0,0,0
