id1816,kreiskey1800,county,rb,land1816_far_ext_ov300,land1816_far_ext_15to30,land1816_far_ext_un15
265,189,"Warendorf","MUN",15,1082,1534
266,103,"Wartenberg","BRE",30,439,1986
267,176,"Weissenfels","MER",15,1205,4075
268,184,"Weissensee","ERF",17,679,2075
269,258,"Wetzlar","KOB",0,686,1789
270,204,"Wiedenbrück","MIN",10,1186,2179
271,223,"Wipperfürth","KOL",,,
272,22,"Wirlitz","BRO",89,859,912
273,165,"Wittenberg","MER",5,974,1525
274,222,"Wittgenstein","ARN",4,688,977
275,262,"Wittlich","TRI",3,692,4261
276,109,"Wohlau","BRE",85,775,2996
277,157,"Wollmirstädt","MAG",23,1053,533
278,49,"Wongrowiz","BRO",152,551,1073
279,180,"Worbis","ERF",24,1418,2594
280,178,"Zeiz","MER",14,687,1203
281,251,"Zell","KOB",0,320,3877
282,186,"Ziegenrück","ERF",5,366,958
283,73,"Züllichau","FRA",51,965,1681
284,220,"Bilstein","ARN",18,1692,1391
285,280,"Blankenheim","AAC",2,448,1510
286,1,"Brandenburg","KON",241,2946,921
287,258,"Braunfels","KOB",2,989,2178
288,11,"Christburg","MAR",64,978,740
289,16,"Dirschau","DAN",156,2166,1217
290,22,"Kammin","MAR",17,1705,471
291,256,"Linz","KOB",2,88,1614
292,210,"Medebach","ARN",5,964,1590
293,38,"Memel","GUM",14,2342,1250
294,241,"Mettmann","DUS",1,901,1130
295,13,"Michelau","MAR",77,2869,710
296,15,"Neuenburg","MAR",26,865,754
297,243,"Opladen","DUS",9,790,2361
298,89,"Osten","STE",14,151,55
299,26,"Peisern","POS",20,1442,721
300,10,"Rhein","GUM",16,2513,62
301,6,"Schaken","KON",123,2056,529
302,7,"Tapiau","KON",77,2609,1317
303,281,"St. Vith","AAC",0,1109,1098
304,276,"Aachen","AAC",,,
305,228,"Köln","KOL",,,
306,193,"Münster","MUN",,,
307,59,"Potsdam","POT",0,14,48
308,50,"Berlin","POT",2,39,244
