kreiskey1882,county,rb,occ1882_se_utb_pr,occ1882_emp_utb_pr,occ1882_unemp_pr,occ1882_ukn_pr,occ1882_dom_pr,occ1882_wif_pr,occ1882_sum_pr,occ1882_se_utb_cat,occ1882_emp_utb_cat,occ1882_unemp_cat,occ1882_ukn_cat,occ1882_dom_cat,occ1882_wif_cat,occ1882_sum_cat,occ1882_se_utb_jew,occ1882_emp_utb_jew,occ1882_unemp_jew,occ1882_ukn_jew,occ1882_dom_jew,occ1882_wif_jew,occ1882_sum_jew,occ1882_se_utb_tot,occ1882_emp_utb_tot,occ1882_unemp_tot,occ1882_ukn_tot,occ1882_dom_tot,occ1882_wif_tot,occ1882_sum_tot
16,"ORTELSBURG","KON",0,0,760,170,2023,36904,59133,0,0,41,9,189,3813,6052,0,0,8,1,6,359,511,0,0,820,182,2230,41608,66515
17,"NEIDENBURG","KON",0,1,730,3,1439,29061,47666,0,0,72,0,219,4983,8425,0,0,17,0,11,455,653,0,1,819,3,1669,34512,56760
18,"OSTERODE","KON",1,27,1179,1,1893,38006,61181,0,2,95,0,157,2973,5183,0,0,7,0,2,405,581,1,29,1283,1,2054,41502,67140
19,"MOHRUNGEN","KON",1,9,1328,29,1644,32689,54147,0,0,28,3,72,644,1313,0,0,8,0,1,192,314,1,9,1368,32,1720,33589,55887
20,"PREUSSISCH HOLLAND","KON",0,7,899,15,1649,24777,43088,0,2,13,3,86,881,1657,0,0,5,0,0,152,240,0,9,917,18,1735,25856,45043
21,"HEYDEKRUG","GUM",0,2,920,18,1349,23460,39777,0,0,40,2,64,850,1574,0,0,9,0,6,281,401,0,2,971,20,1426,24780,42029
22,"NIEDERUNG","GUM",0,13,1034,5,1918,32721,55685,0,0,7,0,11,142,312,0,0,4,0,6,271,389,0,13,1051,5,1943,33449,56907
23,"TILSIT","GUM",1,50,2374,88,2735,35689,65012,0,1,54,2,56,847,1598,0,4,35,2,31,758,1100,1,55,2477,93,2827,37563,68130
24,"RAGNIT","GUM",2,2,1242,37,1858,30345,52658,0,0,10,0,15,251,510,0,0,5,0,3,445,602,2,2,1269,37,1882,31156,53961
25,"PILLKALLEN","GUM",0,7,904,0,1533,25143,44987,0,0,12,0,9,234,713,0,0,8,0,4,126,205,0,7,924,0,1546,25511,45916
26,"STALLUPONEN","GUM",0,9,1020,21,1470,25862,45003,0,0,13,1,23,216,539,0,0,6,0,11,360,563,0,9,1041,22,1507,26466,46153
27,"GUMBINNEN","GUM",0,20,1509,0,1796,25903,46732,0,0,5,0,6,40,101,0,0,4,0,2,102,172,0,20,1524,0,1816,26255,47400
28,"INSTERBURG","GUM",0,54,3327,27,2467,38476,69355,0,1,10,0,7,168,324,0,1,44,1,6,245,428,0,56,3386,28,2483,39005,70291
29,"DARKEHMEN","GUM",0,6,858,16,1233,20628,35770,0,0,0,0,0,23,54,0,0,1,0,0,110,153,0,6,859,16,1233,20796,36026
30,"ANGERBURG","GUM",0,2,854,15,1244,22209,37941,0,0,1,0,1,17,49,0,0,1,0,1,31,68,0,2,862,18,1250,22291,38137
31,"GOLDAP","GUM",0,17,836,46,1441,26592,43548,0,0,5,0,4,128,215,0,0,1,0,1,88,140,0,17,850,46,1455,27146,44391
32,"OLETZKO","GUM",0,1,389,0,1441,23331,39723,0,0,2,0,10,242,424,0,0,4,0,2,136,204,0,1,396,0,1455,23728,40387
33,"LYCK","GUM",0,0,623,66,1793,28194,49345,0,0,14,2,26,578,1102,0,0,12,3,11,352,506,0,0,651,71,1835,29276,51204
34,"LOTZEN","GUM",0,4,1137,13,1475,23366,40389,0,0,4,0,5,255,394,0,0,6,0,1,193,289,0,4,1151,13,1482,23877,41170
35,"SENSBURG","GUM",7,8,744,2,1600,26465,43864,1,1,41,0,80,2366,3599,0,0,5,0,1,185,264,8,9,791,2,1681,29129,47893
36,"JOHANNISBURG","GUM",1,9,616,69,1839,27302,45727,0,0,2,0,1,113,207,0,0,1,0,1,155,243,1,9,619,69,1841,27575,46186
37,"ELBING","DAN",0,526,1715,45,1247,15639,28499,0,135,271,15,399,3586,6683,0,0,36,1,3,319,524,0,667,2124,62,1664,19950,36428
38,"ELBING","DAN",0,27,489,22,1217,16890,28548,0,7,93,4,287,3930,7142,0,0,0,0,0,19,26,0,34,627,26,1527,21817,37295
39,"MARIENBURG","DAN",0,15,1224,5,2001,18463,33943,0,20,546,6,1849,11642,24419,0,0,24,0,4,346,522,0,35,1925,12,3917,33707,64000
40,"DANZIG","DAN",1,215,3993,127,3116,34368,70952,0,74,832,63,1954,18242,32758,0,0,206,7,6,1647,2802,1,289,5099,198,5093,54618,107164
41,"DANZIG","DAN",4,37,1231,11,1871,29239,47989,1,62,761,15,1248,18409,31434,0,0,4,0,0,116,171,5,99,2003,26,3123,47947,79888
42,"PREUSSISCH STARGARD","DAN",1,31,483,9,659,10875,19018,1,86,1184,40,1589,31755,52763,0,1,44,3,9,758,1214,2,119,1717,52,2258,43457,73121
43,"BERENT","DAN",0,1,284,12,479,11433,18216,0,1,501,21,663,15708,25014,0,0,34,0,3,494,719,0,2,819,33,1146,27652,43976
44,"KARTHAUS","DAN",0,12,122,3,373,9596,15027,0,28,398,14,1028,25889,40923,0,0,2,0,2,247,343,0,40,526,17,1407,35771,56363
45,"NEUSTADT","DAN",0,15,466,8,581,9523,15400,0,15,840,25,1467,29457,46228,0,0,21,0,4,173,279,0,30,1337,33,2055,39224,62031
46,"STUHM","MAR",0,5,404,4,575,7733,13401,0,5,337,12,1009,13619,23562,0,0,18,1,0,260,421,0,10,776,17,1595,22095,38153
47,"MARIENWERDER","MAR",0,3,1882,17,1472,23555,39028,0,5,551,11,1162,12841,24126,0,0,27,0,2,449,690,0,8,2472,28,2641,37012,64153
48,"ROSENBERG","MAR",0,10,893,168,1483,26336,43813,0,1,68,13,190,1587,3569,0,0,29,0,4,611,904,0,11,993,181,1678,28581,48363
49,"LOBAU","MAR",0,4,303,1,410,5752,9362,0,3,678,3,1230,26243,41758,0,0,43,0,6,636,969,0,7,1024,4,1646,32638,52098
50,"STRASBURG","MAR",0,2,356,16,702,13322,20642,0,12,585,48,1449,27807,44783,0,0,59,1,22,1412,2045,0,14,1005,65,2175,42763,67773
51,"THORN","MAR",0,42,755,15,1436,21187,37793,0,18,571,22,1546,25130,44397,0,0,55,2,16,1456,2285,0,60,1385,39,3003,47899,84668
52,"KULM","MAR",0,3,576,29,1081,13855,23377,0,8,645,70,1011,18096,30770,0,0,42,0,10,848,1275,0,11,1282,102,2124,33134,55989
53,"GRAUDENZ","MAR",0,5,1315,37,1387,19396,34780,0,13,1559,37,826,13568,25173,0,0,56,1,9,884,1339,0,18,2939,76,2233,34024,61608
54,"SCHWETZ","MAR",0,8,744,14,1047,20675,33869,0,8,740,9,1037,23065,37660,0,0,59,0,16,956,1483,0,16,1550,23,2102,44777,73138
55,"TUCHEL","MAR",0,0,94,2,210,3845,6116,0,1,377,4,474,12928,19987,0,2,33,0,6,651,931,0,3,504,6,690,17434,27048
56,"KONITZ","MAR",1,4,339,11,323,6340,9975,0,1,639,10,952,22907,35581,0,0,38,2,4,795,1124,1,5,1016,23,1279,30042,46682
57,"SCHLOCHAU","MAR",0,6,567,2,835,22630,35127,0,0,259,2,568,17618,26459,0,0,35,0,11,1142,1654,0,6,862,4,1414,41399,63258
58,"FLATOW","MAR",0,3,495,0,966,24849,38478,0,3,307,2,633,15303,24167,0,0,73,0,11,1646,2337,0,6,875,2,1610,41798,64982
59,"DEUTSCH KRONE","MAR",0,8,696,27,1166,24411,39741,0,3,360,11,711,15159,24490,0,0,70,2,8,1161,1802,0,11,1127,41,1886,40779,66102
60,"PRENZLAU","POT",0,29,2058,15,2392,29878,55875,0,0,47,1,5,133,763,0,0,11,0,2,206,357,0,29,2116,16,2399,30229,57016
61,"TEMPLIN","POT",0,12,845,23,1453,26073,44330,0,0,3,0,18,86,263,0,0,3,0,0,100,151,0,12,858,23,1475,26457,45066
62,"ANGERMUNDE","POT",0,67,1291,31,2099,38276,65660,0,1,6,2,10,323,785,0,0,24,0,1,377,567,0,68,1322,33,2118,39035,67114
63,"OBERBARNIM","POT",0,177,3503,32,2875,42786,77355,0,6,176,2,33,443,1180,0,0,39,0,3,226,434,0,183,3720,34,2911,43484,79022
64,"NIEDERBARNIM","POT",4,677,4933,339,3748,72323,126676,0,29,218,38,116,2107,4327,0,1,108,1,9,394,708,4,707,5264,378,3875,74928,131868
65,"CHARLOTTENBURG","POT",5,347,1700,53,1576,16697,30121,0,41,59,7,170,1283,2619,0,1,67,2,1,232,424,5,390,1837,62,1753,18260,33257
66,"TELTOW","POT",0,1176,3953,47,3902,79481,140291,0,52,169,1,256,2985,6227,2,0,114,1,2,501,863,2,1232,4243,49,4162,83078,147569
67,"BEESKOW-STORKOW","POT",0,21,486,6,993,25527,42227,0,1,4,0,1,74,144,0,0,4,0,1,122,182,0,22,494,6,995,25724,42556
68,"JUTERBOG-LUCKENWALDE","POT",0,113,1049,68,1422,36249,62782,0,1,5,0,7,374,704,0,0,2,0,3,43,85,0,114,1056,68,1432,36728,63664
69,"ZAUCH-BELZIG","POT",0,98,827,58,1512,42200,72297,0,0,2,1,7,290,644,0,0,1,0,2,26,64,0,98,830,59,1521,42520,73011
70,"POTSDAM","POT",1,81,3766,35,2524,20235,44356,0,5,97,0,164,1291,3850,0,0,33,1,3,340,569,1,86,3902,36,2692,21914,48883
71,"OSTHAVELLAND","POT",0,251,1419,33,2668,47164,86572,0,23,39,3,131,1726,5210,0,0,9,0,3,192,311,0,274,1468,36,2802,49121,92153
72,"BRANDENBURG","POT",1,145,1634,75,1022,14080,30396,0,6,167,3,32,495,1394,0,0,15,1,1,159,251,1,152,1819,79,1055,14751,32082
73,"WESTHAVELLAND","POT",0,54,865,49,1784,28807,53382,0,1,3,0,23,211,897,0,0,2,1,2,54,93,0,55,870,50,1810,29100,54418
74,"RUPPIN","POT",2,114,2080,60,2836,42957,76778,0,0,6,0,30,265,591,0,0,8,0,2,126,221,2,114,2095,60,2871,43348,77596
75,"OSTPRIGNITZ","POT",0,41,2343,129,2471,36944,66718,0,0,24,1,16,124,307,0,0,8,0,1,61,106,0,41,2375,130,2488,37129,67131
76,"WESTPRIGNITZ","POT",0,165,2067,14,2742,39598,72041,0,7,4,0,18,328,718,0,0,15,0,0,119,212,0,172,2086,14,2760,40058,73002
77,"KONIGSBERG","FRA",1,213,2032,10,2711,55372,95505,0,7,8,0,19,332,926,0,0,31,0,1,406,644,1,220,2078,10,2736,56190,97213
78,"SOLDIN","FRA",0,5,986,46,1269,28584,48119,0,0,11,0,6,164,382,0,0,13,0,1,238,367,0,5,1013,46,1276,29063,48988
79,"ARNSWALDE","FRA",0,31,812,10,1199,25195,41890,0,0,6,0,11,131,295,0,0,10,0,2,398,592,0,32,829,10,1214,25781,42870
80,"FRIEDEBERG","FRA",1,38,1234,9,1512,33173,55687,0,0,11,0,38,411,773,0,0,46,0,1,433,691,1,38,1291,9,1551,34027,57163
81,"LANDSBERG","FRA",0,34,2419,34,1848,46756,76486,0,0,10,0,81,677,1231,0,0,39,0,3,486,885,0,34,2468,34,1935,47944,78645
82,"LEBUS","FRA",1,166,1881,49,2866,53766,95053,0,1,11,1,25,285,809,0,0,12,0,2,133,265,1,167,1905,50,2893,54192,96143
83,"FRANKFURT","FRA",3,347,2109,176,2012,25799,48860,0,17,73,9,117,1439,2823,0,0,112,0,3,540,965,3,364,2298,185,2134,27860,52788
84,"WESTSTERNBERG","FRA",0,26,801,19,1027,26263,44815,0,0,3,0,14,185,335,0,0,0,0,0,82,135,0,26,805,20,1041,26603,45388
85,"OSTSTERNBERG","FRA",0,36,2130,2,931,26544,45548,0,3,6,0,40,267,603,0,0,10,0,2,266,384,0,39,2151,2,977,27104,46595
86,"ZULLICHAU-SCHWIEBUS","FRA",2,250,880,11,1215,24410,42968,0,35,68,0,216,3597,6251,0,0,8,0,1,125,202,2,285,957,11,1432,28146,49448
87,"KROSSEN","FRA",1,68,893,29,1358,34927,60520,0,0,14,0,13,399,836,0,0,12,3,0,203,318,1,68,919,32,1371,35532,61680
88,"GUBEN","FRA",0,240,1349,60,1354,36934,64728,0,9,47,1,76,1602,2713,0,0,10,0,1,211,330,1,249,1409,61,1431,38776,67832
89,"LUBBEN","FRA",0,6,1008,16,754,19321,34046,0,0,65,0,4,327,514,0,0,4,0,0,93,131,0,6,1078,16,758,19741,34692
90,"LUCKAU","FRA",0,247,1505,3,1420,35986,62442,0,0,131,1,7,201,492,1,0,3,0,0,15,25,1,247,1640,4,1427,36206,62970
91,"KALAU","FRA",0,156,790,34,1184,29931,52504,0,5,4,0,8,382,704,0,0,2,0,0,8,16,0,161,796,34,1192,30322,53228
92,"KOTTBUS","FRA",0,1260,1660,139,1687,41991,74503,0,20,38,2,35,588,1156,0,0,10,0,2,243,357,0,1282,1708,141,1724,42837,76042
93,"SORAU","FRA",0,960,1824,21,2119,50771,91939,0,33,73,0,128,1984,3894,0,0,13,0,0,164,244,0,994,1910,21,2247,52983,96180
94,"SPREMBERG","FRA",2,196,321,8,518,13886,24122,0,3,5,0,6,355,601,0,0,0,0,1,14,31,2,199,326,8,525,14255,24754
95,"DEMMIN","STE",0,18,1006,36,1879,27050,46696,0,1,5,1,13,159,551,0,0,3,0,0,64,109,0,19,1014,37,1892,27311,47414
96,"ANKLAM","STE",1,18,963,60,1282,18220,31066,0,0,4,0,5,47,206,0,0,10,0,0,93,161,1,18,978,60,1287,18360,31435
