kreiskey1864,county,rb,edu1864_pub_ele_tea_m,edu1864_pub_ele_tea_f,edu1864_pub_mim_tea_m,edu1864_pub_mif_tea_m,edu1864_pub_mif_tea_f,edu1864_pub_rea_tea_m,edu1864_pub_pgy_tea_m,edu1864_pub_gym_tea_m,edu1864_pri_ele_tea_m,edu1864_pri_ele_tea_f,edu1864_pri_hsm_tea_m,edu1864_pri_hsf_tea,edu1864_pri_voc_tea_m,edu1864_pri_sun_tea_m
235,"ZEITZ LANDKREIS","MER",58,0,10,"10",1,4,0,10,0,0,0,"0",0,0
236,"NORDHAUSEN LANDKREIS","ERF",130,7,0,"0",0,10,0,15,0,0,1,"0",0,0
237,"WORBIS","ERF",74,3,0,"0",0,0,0,0,0,2,0,"3",1,0
238,"HEILIGENSTADT","ERF",84,4,0,"0",0,0,0,12,0,0,0,"0",0,0
239,"MUHLHAUSEN LANDKREIS","ERF",80,5,13,"12",1,0,0,14,1,0,0,"0",5,1
240,"LANGENSALZA","ERF",73,0,10,"7",2,8,0,0,1,0,0,"5",0,0
241,"WEISSENSEE","ERF",64,1,0,"0",0,0,0,0,1,0,0,"0",0,0
242,"ERFURT LANDKREIS","ERF",131,13,0,"5",5,24,0,13,0,0,0,"0",18,0
243,"ZIEGENRUCK","ERF",32,0,0,"0",0,0,0,0,0,0,0,"0",0,0
244,"SCHLEUSINGEN","ERF",67,1,3,"2",0,0,0,8,0,0,0,"0",0,1
245,"TECKLENBURG","MUN",69,13,2,"0",0,0,0,0,2,0,3,"0",0,2
246,"WARENDORF","MUN",23,23,0,"0",0,0,0,12,1,0,0,"2",0,1
247,"BECKUM","MUN",36,23,4,"0",0,0,0,0,6,0,2,"0",0,0
248,"LUDINGHAUSEN","MUN",32,24,0,"0",0,0,0,0,3,0,3,"0",2,0
249,"MUNSTER LANDKREIS","MUN",31,21,0,"0",0,0,0,0,1,0,5,"5",0,0
250,"MUNSTER STADTKREIS","MUN",19,17,0,"0",0,13,0,34,3,2,0,"14",3,1
251,"STEINFURT","MUN",45,23,0,"0",0,0,0,21,2,0,5,"3",0,2
252,"KOESFELD","MUN",50,15,4,"0",0,0,0,11,5,4,0,"15",0,0
253,"AHAUS","MUN",37,18,0,"0",0,0,5,0,0,0,2,"0",0,0
254,"BORKEN","MUN",49,16,2,"0",0,0,0,0,2,0,1,"2",0,0
255,"RECKLINGHAUSEN LANDKREIS","MUN",58,25,1,"0",0,0,6,9,2,0,1,"12",0,6
256,"MINDEN","MIN",108,8,0,"3",2,0,0,14,3,1,5,"2",0,2
257,"LUBBECKE","MIN",67,0,0,"0",0,0,0,0,1,1,2,"0",0,0
258,"HERFORD","MIN",90,2,0,"0",0,0,0,9,0,2,2,"5",0,3
259,"HALLE","MIN",41,1,0,"0",0,0,0,0,3,0,2,"0",0,0
260,"BIELEFELD LANDKREIS","MIN",56,2,0,"3",3,0,0,14,2,0,0,"8",7,0
261,"WIEDENBRUCK","MIN",57,9,3,"0",0,0,5,12,1,0,0,"2",0,9
262,"PADERBORN","MIN",47,16,0,"0",0,0,0,17,1,0,0,"10",0,6
