kreiskey1888,county,rb,edu1886_loc_scd,edu1886_loc_sco,edu1886_dif_scd,edu1886_dif_sco,edu1886_tot_scd,edu1886_tot_sco,edu1886_pro_sco,edu1886_pro_cla,edu1886_cat_sco,edu1886_cat_cla,edu1886_ocr_sco,edu1886_ocr_cla,edu1886_jew_sco,edu1886_jew_cla,edu1886_mix_sco,edu1886_mix_cla,edu1886_new_num,edu1886_new_roo,edu1886_ext_num,edu1886_ext_roo
139,"POSEN WEST","POS",6,6,39,39,45,45,9,11,35,69,0,0,0,0,1,3,14,5,13,1
140,"OBORNIK","POS",18,18,64,64,82,82,42,47,32,50,0,0,2,4,6,24,14,6,10,0
141,"SAMTER","POS",16,16,58,58,74,74,27,45,43,78,0,0,4,8,0,0,9,5,14,1
142,"BIRNBAUM","POS",8,8,36,36,44,44,25,36,16,25,0,0,1,1,2,10,3,4,13,1
143,"SCHWERIN","POS",14,14,15,15,29,29,11,24,17,35,0,0,1,1,0,0,5,1,4,4
144,"MESERITZ","POS",36,36,37,37,73,73,38,59,32,49,0,0,1,1,2,19,6,3,19,3
145,"NEUTOMISCHEL","POS",13,15,30,32,43,47,26,34,20,30,0,0,1,1,0,0,6,3,7,3
146,"GRATZ (Buk)","POS",16,16,27,27,43,43,10,11,29,50,0,0,1,1,3,16,1,1,2,1
147,"BOMST","POS",44,44,48,48,92,92,49,79,40,73,0,0,2,2,1,3,12,10,14,0
148,"FRAUSTADT","POS",26,26,17,17,43,43,15,37,27,52,0,0,1,1,0,0,7,4,5,1
149,"SCHMIEGEL","POS",13,13,35,35,48,48,8,14,39,81,0,0,1,1,0,0,20,9,5,0
150,"KOSTEN","POS",25,25,28,28,53,53,8,12,44,89,0,0,1,1,0,0,16,6,8,1
151,"LISSA","POS",16,16,24,24,40,40,15,35,23,53,0,0,1,3,1,3,5,8,6,1
152,"RAWITSCH","POS",15,15,35,35,50,50,18,36,27,53,0,0,1,1,4,27,16,5,9,1
153,"GOSTYN (Kröben)","POS",9,9,37,37,46,46,4,5,38,78,0,0,0,0,4,13,21,6,9,0
154,"KOSCHMIN","POS",10,10,28,28,38,38,9,12,27,60,0,0,2,3,0,0,8,1,11,0
155,"KROTOSCHIN","POS",24,24,23,23,47,47,12,31,31,64,0,0,2,5,2,6,6,2,4,0
156,"PLESCHEN","POS",5,5,35,35,40,40,6,12,33,50,0,0,0,0,1,2,6,10,3,1
157,"OSTROWO","POS",18,18,16,16,34,34,2,9,30,63,0,0,1,4,1,2,6,4,2,1
