kreiskey1849,county,rb,dis1849_deaf_m_un5,dis1849_deaf_f_un5,dis1849_deaf_m_5to15,dis1849_deaf_f_5to15,dis1849_deaf_m_15to30,dis1849_deaf_f_15to30,dis1849_deaf_m_ov30,dis1849_deaf_f_ov30,dis1849_deaf_tot,dis1849_blind_m_un15,dis1849_blind_f_un15,dis1849_blind_m_15to30,dis1849_blind_f_15to30,dis1849_blind_m_ov30,dis1849_blind_f_ov30,dis1849_blind_tot
300,"Simmern","KOB",0,0,2,1,4,3,2,5,17,2,0,1,4,7,2,16
301,"Coblenz","KOB",0,0,4,11,15,10,3,9,52,0,2,9,3,14,13,41
302,"St. Goar","KOB",0,0,3,0,5,1,6,5,20,0,2,0,1,5,4,12
303,"Kreuznach","KOB",0,0,5,1,4,5,6,7,28,2,0,3,0,7,13,25
304,"Zell","KOB",0,0,3,1,0,1,3,0,8,1,1,2,0,8,6,18
305,"Kochheim","KOB",0,0,1,1,1,0,7,2,12,0,0,3,0,3,6,12
306,"Mayen","KOB",0,0,5,3,16,15,5,2,46,1,0,1,1,16,9,28
307,"Adenau","KOB",0,0,1,5,4,3,3,4,20,0,2,1,1,5,9,18
308,"Ahrweiler","KOB",0,0,3,2,6,5,4,2,22,0,0,1,1,8,4,14
309,"Neuwied","KOB",0,2,11,3,23,19,16,14,88,2,2,2,2,13,16,37
310,"Altenkirchen","KOB",0,0,3,5,5,6,6,2,27,2,0,0,1,8,5,16
311,"Wetzlar","KOB",0,1,6,2,8,2,16,9,44,4,1,0,2,11,14,32
312,"Daun","TRI",0,0,2,0,1,1,1,0,5,0,0,2,3,3,3,11
313,"Prüm","TRI",0,0,2,2,1,1,1,2,9,0,1,0,0,1,10,12
314,"Bitburg","TRI",0,1,4,6,8,3,7,6,35,0,0,1,3,7,10,21
315,"Wittlich","TRI",1,0,1,1,5,3,6,3,20,0,0,2,2,3,1,8
316,"Trier (Stadt)","TRI",1,0,5,1,14,3,7,7,38,3,0,0,6,7,6,22
317,"Trier (Land)","TRI",3,1,7,3,10,10,13,5,52,0,0,0,4,13,8,25
318,"Berncastel","TRI",1,0,3,1,5,3,12,5,30,0,1,0,0,10,4,15
319,"Saarburg","TRI",0,0,7,3,4,4,3,3,24,0,0,0,0,11,1,12
320,"Merzig","TRI",0,0,4,1,8,3,5,7,28,2,0,4,1,6,4,17
321,"Saarlouis","TRI",0,0,3,2,4,0,5,4,18,2,0,2,2,11,6,23
322,"Saarbrücken","TRI",0,0,1,3,2,2,14,8,30,1,0,0,1,8,7,17
323,"Ottweiler","TRI",0,0,2,1,6,10,4,2,25,0,0,3,0,10,12,25
324,"St. Wendel","TRI",0,0,1,2,10,8,7,4,32,0,0,0,1,4,3,8
325,"Erkelens","AAC",0,1,2,0,3,3,4,1,14,0,1,1,0,15,10,27
326,"Heinsberg","AAC",0,0,3,1,4,5,6,4,23,0,0,5,3,9,7,24
327,"Geilenkirchen","AAC",0,0,3,2,1,2,1,1,10,0,1,3,1,16,6,27
328,"Jülich","AAC",0,0,3,5,6,5,2,6,27,0,2,3,2,26,11,44
329,"Düren","AAC",0,0,1,1,3,0,3,3,11,8,6,6,1,15,6,42
330,"Stadt Aachen","AAC",0,2,2,4,1,2,4,6,21,1,0,8,11,25,31,76
331,"Landkreis Aachen","AAC",0,0,4,2,6,5,3,1,21,1,0,3,0,21,6,31
332,"Eupen","AAC",0,0,1,4,3,1,4,1,14,0,2,1,0,6,8,17
333,"Montjoie","AAC",0,0,0,1,2,2,2,2,9,0,0,0,1,8,8,17
334,"Schleiden","AAC",0,0,1,2,4,3,6,2,18,0,0,1,1,10,12,24
335,"Malmedy","AAC",0,0,1,0,0,1,3,2,7,0,1,0,0,8,1,10
