kreiskey1849,county,rb,occ1849_typefoundry_inst,occ1849_typefoundry_workers,occ1849_printoffice_book_inst,occ1849_printoffice_book_press,occ1849_printoffice_book_workers,occ1849_printoffice_copper_inst,occ1849_printoffice_copper_work,occ1849_lithographic_inst,occ1849_lithographic_workers,occ1849_bookshop_propr,occ1849_bookshop_assi,occ1849_antiquarian_inst,occ1849_lendinglibrary_inst,occ1849_money_propr,occ1849_money_assi,occ1849_wholesaler_propr,occ1849_wholesaler_assi,occ1849_store_wine_propr,occ1849_store_wine_assi,occ1849_store_grain_propr,occ1849_store_grain_assi,occ1849_store_wood_propr,occ1849_store_wood_assi,occ1849_store_wool_propr,occ1849_store_wool_assi,occ1849_wholesale_brokers,occ1849_retail_brokers,occ1849_spicetrader_propr,occ1849_spicetrader_assi,occ1849_mercer_propr,occ1849_mercer_assitants,occ1849_metaltrader_propr,occ1849_metaltrader_assi,occ1849_gallantrytrader_propr,occ1849_gallantrytrader_assist,occ1849_other_trader_propretor,occ1849_other_trader_assi,occ1849_horsedealer,occ1849_chandler,occ1849_victualstrader,occ1849_travel_chandler,occ1849_mar_crew,occ1849_river_crew,occ1849_carriage_propr,occ1849_carriage_assi,occ1849_inn_educated_inns,occ1849_inn_carriage_inns,occ1849_inn_food_innkeepers,occ1849_inn_drink_innkeepers,occ1849_inn_musicians,occ1849_civil_state_senior,occ1849_civil_state_others,occ1849_civil_justice_senior,occ1849_civil_justice_others,occ1849_municipal_senior,occ1849_municipal_others,occ1849_annuitants,occ1849_manualworkers_m,occ1849_manualworkers_f,occ1849_servant_m_conv,occ1849_servant_f_conv
91,"Teltow","POT",1,37,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,12,1,0,0,0,0,101,43,42,7,5,0,0,0,56,0,24,7,400,142,0,140,91,31,24,140,7,140,19,9,153,10,27,1,48,403,3614,1976,284,607
92,"Jüterbock-Luckenwalde","POT",0,0,2,3,7,0,0,1,1,1,1,0,8,2,2,0,0,0,0,0,0,2,0,0,0,0,7,91,50,13,5,1,1,1,0,0,0,8,7,81,59,0,0,12,7,12,79,4,125,34,2,29,13,19,0,17,54,2158,1934,48,165
93,"Zauch-Belzig","POT",0,0,1,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,22,0,0,0,0,4,107,35,26,8,0,0,1,0,12,1,19,26,94,149,0,229,26,5,16,164,0,67,91,2,44,8,12,0,49,71,4009,2874,90,174
94,"Potsdam","POT",0,0,5,10,33,0,0,6,31,5,12,2,4,9,10,0,0,9,4,5,0,10,5,1,0,0,4,76,163,29,32,13,19,13,4,64,26,19,21,94,29,0,16,46,129,7,20,22,122,25,63,219,26,46,3,31,550,907,907,256,494
95,"Ost-Havelland","POT",0,0,2,3,2,0,0,1,1,1,0,0,8,0,0,1,0,1,1,6,0,10,2,0,0,0,0,95,70,49,27,2,0,3,1,0,0,46,30,169,53,0,194,38,14,16,115,9,57,26,6,134,15,25,2,105,239,3164,2997,138,393
96,"West-Havelland","POT",0,0,3,6,15,0,0,2,2,3,3,0,6,3,1,22,16,0,0,9,6,24,6,2,2,0,0,131,125,49,19,7,3,18,10,17,2,28,17,107,83,0,559,31,25,17,136,27,113,40,2,102,26,42,4,58,222,3317,3529,206,631
97,"Ruppin","POT",0,0,1,2,4,0,0,2,23,2,4,0,4,1,1,0,0,0,0,1,0,10,1,3,0,0,0,75,72,58,19,2,1,7,0,14,0,123,11,283,371,0,167,25,15,14,165,15,75,182,1,90,16,23,2,36,269,3940,1238,109,387
98,"Ost-Priegnitz","POT",0,0,3,3,7,0,0,2,5,2,1,0,5,0,0,5,1,0,0,4,0,20,0,0,0,0,0,113,66,21,9,2,1,2,0,8,2,76,15,53,68,0,0,6,2,8,177,3,47,72,2,118,15,37,17,97,221,2301,708,192,529
99,"West-Priegnitz","POT",0,0,2,2,5,0,0,1,1,1,1,0,4,0,0,6,7,2,5,13,1,64,14,4,1,0,2,66,85,25,19,1,3,4,0,10,10,31,9,202,12,0,323,5,7,20,194,6,78,88,8,152,19,32,0,57,200,5489,4426,119,454
100,"Königsberg","FRA",0,0,3,4,7,0,0,0,0,2,3,0,2,2,0,4,1,1,0,20,0,17,4,0,0,0,4,128,81,55,18,3,6,10,5,18,1,61,27,143,74,0,380,41,35,26,166,11,87,73,2,86,24,51,1,85,236,5656,5093,174,417
101,"Soldin","FRA",0,0,2,2,5,0,0,0,0,2,0,0,2,0,0,0,0,3,4,2,2,7,0,0,0,0,3,45,26,26,11,0,0,10,4,3,0,33,9,82,31,0,0,3,6,14,90,3,41,19,2,34,13,29,0,27,183,2932,2210,228,389
102,"Arnswalde","FRA",0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,1,0,0,0,3,33,15,19,4,4,0,0,0,12,0,36,9,62,36,0,5,6,13,14,82,1,27,17,0,30,6,16,2,32,76,2222,2309,121,134
103,"Friedeberg","FRA",0,0,2,2,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,19,0,0,0,0,4,66,30,29,7,0,0,1,0,26,4,37,24,121,18,0,95,11,29,20,76,5,106,32,1,43,11,27,15,102,105,3095,2759,113,251
104,"Landsberg","FRA",0,0,2,3,13,0,0,2,2,2,5,0,0,0,0,8,20,0,0,14,6,9,2,0,0,0,4,93,22,31,16,4,3,16,5,22,0,66,17,314,38,0,481,19,40,5,174,8,73,62,2,78,22,54,3,71,132,3947,3421,109,106
105,"Lebus","FRA",0,0,2,2,3,0,0,0,0,3,1,0,2,0,0,6,1,1,0,39,1,13,0,0,0,0,23,110,45,54,10,1,0,4,4,23,0,37,24,125,34,0,251,20,17,16,157,2,104,75,1,61,10,28,15,141,435,4862,4501,171,327
106,"Frankfurt","FRA",0,0,2,7,16,1,8,4,14,6,10,1,5,4,0,5,18,14,32,2,3,13,14,0,0,0,7,54,78,28,12,14,20,20,12,8,10,20,8,83,27,0,108,25,38,10,40,22,98,80,88,214,56,148,18,85,1660,2280,2145,370,2150
107,"Sternberg","FRA",0,0,1,2,2,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,0,13,0,2,1,0,3,85,44,32,5,5,0,7,0,9,0,91,80,214,78,0,128,8,15,22,197,0,106,69,1,96,18,54,1,41,133,4619,4601,147,263
108,"Züllichau","FRA",0,0,2,2,3,0,0,0,0,3,1,0,1,1,1,0,0,0,0,5,1,11,0,0,0,0,5,52,42,15,11,0,0,4,4,1,0,36,22,100,29,0,156,5,19,15,74,1,128,29,1,18,12,21,3,40,119,1926,1367,67,121
109,"Guben","FRA",0,0,1,2,5,0,0,1,8,2,2,0,1,0,0,0,0,3,1,3,0,7,0,0,0,0,2,42,30,17,11,3,0,2,1,0,0,3,13,50,111,0,312,22,16,11,54,5,167,52,1,34,8,19,8,124,87,2036,1469,69,110
110,"Crossen","FRA",0,0,3,3,9,1,0,0,0,2,1,0,3,1,0,3,0,2,6,0,0,4,0,5,1,0,1,56,39,11,6,2,3,1,1,8,1,6,37,236,57,0,504,24,23,18,109,7,142,59,2,67,18,18,4,61,140,2357,2922,72,455
111,"Lübben","FRA",0,0,1,1,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,35,15,13,2,1,1,0,0,0,0,8,26,65,36,0,11,2,13,12,39,4,103,46,4,57,17,27,5,69,96,1270,1572,40,63
112,"Luckau","FRA",0,0,2,2,5,0,0,2,2,1,1,0,2,0,0,2,1,0,0,0,0,2,0,0,0,0,0,64,30,7,5,3,3,0,0,2,1,12,20,116,34,0,0,19,19,14,31,4,212,46,5,46,15,21,1,32,64,2138,2301,95,178
113,"Kalau","FRA",0,0,3,3,4,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,3,0,0,0,61,39,8,6,0,0,0,0,3,0,8,15,110,37,0,2,14,12,12,35,3,208,13,2,24,13,28,0,19,40,1622,1636,119,132
114,"Cottbus","FRA",0,0,2,2,5,0,0,2,8,2,2,0,0,0,0,14,21,2,4,0,0,1,0,0,0,0,2,45,47,20,19,2,0,4,3,19,7,24,23,131,36,0,4,23,26,8,24,0,184,25,3,51,15,33,1,38,152,1487,1407,73,447
115,"Sorau","FRA",0,0,2,3,8,0,0,1,2,2,4,0,3,0,0,9,9,1,0,0,0,1,0,0,0,0,1,57,62,43,4,8,0,4,3,1,0,34,37,149,43,0,0,20,28,16,17,1,284,29,2,48,19,47,1,80,230,3391,3065,126,449
116,"Spremberg","FRA",0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,3,1,0,0,0,0,0,0,7,5,59,8,0,0,6,13,4,12,1,63,13,1,10,9,20,0,125,18,381,366,18,85
117,"Demmin","STE",0,0,2,3,4,0,0,1,0,5,0,0,4,0,0,2,2,3,3,11,7,8,0,1,0,0,0,38,33,27,16,2,1,2,0,7,0,7,11,84,45,79,95,24,26,7,82,0,30,37,1,90,11,20,1,56,71,3286,2990,220,641
118,"Anclam","STE",0,0,2,2,5,0,0,0,0,1,3,0,0,0,0,12,20,3,2,12,12,2,2,2,5,0,0,23,42,22,44,1,1,2,6,3,4,2,45,85,58,67,42,21,52,2,62,2,24,37,2,65,9,13,3,25,155,1541,1372,106,189
119,"Usedom-Wollin","STE",0,0,1,1,2,0,0,0,0,2,1,0,3,0,0,11,38,0,0,5,0,1,0,0,0,0,0,41,35,19,24,1,0,1,1,0,0,0,13,85,32,252,255,25,31,17,52,1,32,8,1,138,7,19,1,21,54,1584,1441,53,169
120,"Uckermünde","STE",0,0,2,2,5,0,0,0,0,2,1,0,3,0,0,10,8,0,0,69,2,83,6,0,0,0,1,39,32,33,15,6,4,0,0,2,2,23,30,216,238,515,413,26,7,12,77,1,39,36,0,83,9,19,0,41,145,3024,2712,44,441
121,"Randow","STE",1,5,8,15,87,1,6,7,43,8,13,3,7,3,8,185,375,31,69,32,83,29,45,1,6,42,23,129,186,62,67,15,40,8,10,102,94,20,153,790,116,1792,586,104,146,38,135,26,240,76,39,313,91,111,8,218,884,6670,2575,448,3090
122,"Greiffenhagen","STE",0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,4,3,0,0,0,0,0,43,25,21,12,6,1,0,0,4,0,28,4,179,31,0,40,7,3,12,80,0,32,55,0,48,9,16,0,24,118,3335,2670,72,147
123,"Pyritz","STE",0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,7,0,0,0,0,0,0,0,44,10,12,12,2,2,0,0,3,4,4,10,81,35,0,0,3,3,6,80,0,18,18,0,10,5,8,0,8,15,2698,3104,165,293
124,"Saazig","STE",0,0,2,5,10,0,0,1,1,2,3,0,0,3,2,5,5,0,0,2,0,1,1,0,0,0,4,56,57,42,19,3,6,1,0,5,2,76,40,88,74,0,0,15,15,13,116,8,98,37,8,69,20,35,2,56,386,2988,3126,131,701
125,"Naugardt","STE",0,0,1,1,2,0,0,0,0,1,1,0,1,0,0,2,8,0,0,2,1,32,0,0,0,0,1,45,19,25,8,7,0,6,2,10,0,12,3,88,20,0,90,1,0,11,99,1,41,33,2,91,11,20,1,38,147,1971,1500,67,221
126,"Cammin","STE",0,0,1,1,3,0,0,0,0,1,0,0,1,2,0,0,0,0,0,5,1,0,0,0,0,0,0,24,12,18,6,5,1,0,0,19,0,37,4,116,7,106,74,1,4,8,50,1,16,12,1,28,9,19,0,38,126,1374,1243,100,160
127,"Greiffenberg","STE",0,0,1,1,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,1,24,25,17,10,6,6,0,0,0,0,22,19,54,13,10,0,1,1,4,30,1,29,7,1,28,11,15,1,33,195,1694,1571,81,361
128,"Regenwalde","STE",0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,7,0,0,0,0,0,37,27,16,3,2,2,2,3,12,0,9,5,25,18,0,0,1,4,8,80,1,22,25,2,15,6,18,0,15,27,1497,1476,184,225
129,"Schiefelbein","KOS",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,4,2,1,0,0,0,0,3,6,28,15,0,0,2,0,2,26,1,14,21,0,8,1,2,0,6,7,249,274,60,37
130,"Dramburg","KOS",0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,24,24,10,17,0,0,1,0,3,3,4,19,32,18,0,0,2,0,10,55,0,26,17,1,16,9,20,0,22,5,1019,1078,69,143
131,"Neustettin","KOS",0,0,1,1,1,0,0,1,1,1,1,0,3,1,0,0,0,0,0,1,1,3,0,0,0,0,0,36,5,19,8,2,0,0,0,36,0,35,2,93,25,0,0,6,5,16,97,0,42,31,2,36,19,33,0,55,71,2659,2349,117,216
132,"Belgard","KOS",0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,1,1,5,0,2,0,9,0,0,0,0,0,20,16,15,4,2,0,4,4,2,0,0,7,57,17,0,0,5,7,14,56,1,28,26,1,20,2,23,0,7,89,709,217,126,159
133,"Fürstenthum","KOS",0,0,4,14,18,0,0,4,8,5,7,0,5,0,0,1,1,1,0,11,1,9,0,0,0,1,2,69,70,47,32,14,14,11,3,10,1,3,30,114,35,298,0,43,27,13,131,3,75,46,19,121,41,83,6,99,217,3787,2636,346,919
134,"Schlawe","KOS",0,0,1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,0,0,0,0,4,42,33,28,4,2,0,1,1,0,0,7,19,95,25,205,0,12,3,10,68,0,78,24,21,14,14,34,2,43,168,3742,3606,172,378
135,"Rummelsburg","KOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9,8,8,3,0,0,0,0,0,0,0,12,18,2,0,0,0,0,2,21,0,34,2,1,16,3,5,0,5,24,1699,1362,92,126
136,"Stolpe","KOS",0,0,1,1,4,0,0,2,2,1,2,0,1,4,3,4,1,0,0,4,2,4,0,0,0,0,2,21,45,18,9,1,3,1,1,3,0,41,44,72,28,176,0,4,4,6,59,3,151,47,6,91,18,29,37,233,185,5324,5151,146,915
137,"Lauenburg","KOS",0,0,2,2,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17,19,12,4,0,0,1,1,2,1,0,10,35,9,0,0,6,1,3,26,0,53,18,1,12,8,10,0,11,60,2418,2322,134,197
138,"Bütow","KOS",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,15,10,5,1,1,0,0,0,0,14,0,21,7,0,0,4,4,4,14,0,42,6,3,25,8,18,0,8,70,661,503,34,130
139,"Rügen","STR",0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,37,34,3,8,0,0,2,0,0,0,1,81,17,23,239,85,44,18,14,73,0,17,15,7,12,14,10,0,3,93,1892,684,225,556
140,"Franzburg","STR",0,0,2,2,17,0,0,3,6,4,3,1,5,1,1,15,18,10,11,17,14,22,5,1,0,4,5,80,78,45,59,10,21,3,6,21,13,5,20,98,36,1702,0,57,60,23,68,11,108,32,13,44,27,23,12,49,101,3502,2198,252,1285
141,"Greifswald","STR",0,0,3,5,15,0,0,2,2,4,6,1,7,1,0,8,8,5,7,9,4,8,3,0,0,1,0,68,66,43,52,3,3,2,0,12,8,5,4,89,55,874,152,39,100,14,47,3,62,20,4,61,22,34,11,63,430,2423,2184,242,1177
142,"Grimmen","STR",0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,36,37,4,5,0,0,0,0,0,0,3,0,65,54,12,10,9,5,6,41,0,40,5,0,30,4,9,1,19,143,3700,4057,132,400
143,"Namslau","BRE",0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,3,0,0,0,0,0,25,24,5,2,1,0,2,0,2,0,3,49,43,11,0,0,3,1,3,79,1,64,0,0,8,6,27,0,10,35,1920,1927,70,72
144,"Wartenberg","BRE",0,0,1,1,2,0,0,1,1,0,0,0,1,0,0,3,1,1,0,13,0,29,0,0,0,0,0,38,12,11,2,0,0,0,0,2,0,13,61,89,33,0,0,7,3,7,66,1,107,18,0,12,11,20,2,35,29,3383,2877,128,191
145,"Oels","BRE",0,0,1,3,5,0,0,1,3,2,2,0,4,0,0,5,10,1,0,17,3,62,2,5,4,0,2,27,19,12,9,3,0,1,1,0,1,8,148,159,46,0,0,13,11,10,103,2,165,11,2,48,11,49,3,16,80,2629,2594,215,556
146,"Trebnitz","BRE",0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,46,0,0,0,0,9,100,4,13,3,3,0,1,0,7,0,75,58,62,46,0,0,5,3,7,71,3,152,63,2,19,15,23,0,16,58,2768,3150,223,379
147,"Militsch","BRE",0,0,1,2,4,0,0,0,0,1,0,0,6,0,0,0,0,1,1,3,2,22,1,0,0,0,10,43,2,15,8,6,3,3,0,3,1,74,64,77,24,0,0,4,4,10,145,1,55,0,1,17,11,20,0,10,93,2945,2888,183,351
148,"Gurau","BRE",0,0,1,1,4,0,0,1,1,1,1,0,2,0,0,0,0,0,0,21,0,9,0,0,0,0,2,22,13,10,1,2,2,1,0,12,0,12,24,176,42,0,104,9,1,10,139,0,18,34,1,13,10,26,1,20,110,1607,1920,117,239
149,"Steinau","BRE",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,11,3,12,6,0,0,0,1,46,8,11,0,2,0,1,0,1,0,5,39,98,34,0,210,11,5,9,49,0,62,10,0,10,4,13,1,18,216,1210,1041,97,243
150,"Wolau","BRE",0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,0,19,0,1,0,0,2,72,9,13,4,3,0,1,0,49,0,21,41,62,48,0,209,7,3,15,109,0,121,12,2,18,9,16,1,16,54,2756,2533,168,367
151,"Neumarkt","BRE",0,0,2,2,4,0,0,0,0,0,0,0,2,0,0,3,5,1,2,26,1,16,1,0,0,0,0,56,26,12,3,3,2,1,0,3,0,23,104,111,55,0,220,6,5,4,120,0,73,30,1,34,13,37,0,31,59,3170,2885,181,364
152,"Breslau","BRE",1,27,11,28,239,3,6,22,30,24,48,7,6,39,106,245,392,29,60,58,25,88,47,24,13,84,144,242,517,172,200,15,21,42,54,186,156,128,192,622,103,0,466,159,406,33,180,33,412,147,74,542,185,253,19,325,1587,7914,6203,1302,7019
153,"Olau","BRE",0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,1,4,0,0,39,0,45,5,0,0,0,3,46,11,17,0,1,0,0,0,2,0,11,75,189,44,0,355,5,8,8,113,1,63,0,29,12,35,0,0,13,214,2769,2702,114,235
154,"Brieg","BRE",0,0,2,2,4,0,0,0,0,4,2,0,5,1,1,1,0,4,3,17,0,45,10,0,0,0,2,40,45,20,10,9,2,0,0,24,17,5,65,149,30,0,64,31,18,12,75,4,110,33,6,103,13,36,1,18,125,2112,2013,134,126
155,"Strehlen","BRE",0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,10,0,14,0,0,0,1,0,20,2,24,3,3,0,1,0,16,0,8,79,102,39,0,0,18,5,8,94,0,37,4,1,23,12,33,1,16,27,1251,1156,119,285
156,"Nimtsch","BRE",0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,31,15,14,2,2,4,2,2,6,0,10,75,120,11,0,0,12,2,14,84,0,59,7,0,50,6,21,1,35,111,1818,2087,162,390
157,"Münsterberg","BRE",0,0,1,2,2,0,0,0,0,1,0,0,2,0,0,1,0,1,0,7,0,10,0,0,0,0,0,45,11,16,4,4,1,1,0,0,0,5,12,95,37,0,0,24,1,5,38,11,78,5,1,2,9,12,0,10,32,2163,1957,60,253
158,"Frankenstein","BRE",0,0,1,2,3,0,0,2,2,1,1,0,1,1,1,0,0,3,0,24,0,10,0,0,0,0,3,45,2,24,0,4,0,2,0,1,0,19,86,189,19,0,0,18,10,18,108,2,142,10,4,30,13,40,1,14,168,1990,1284,82,395
159,"Reichenbach","BRE",0,0,3,3,11,0,0,0,0,2,0,0,0,0,0,39,69,1,1,2,0,0,0,1,1,0,0,30,36,22,12,0,0,1,0,5,1,12,236,212,362,0,0,15,15,9,82,0,80,20,1,26,11,30,0,52,179,2013,1186,159,284
160,"Schweidnitz","BRE",0,0,4,6,12,0,0,1,1,5,4,1,5,0,0,2,20,3,2,35,1,34,3,2,0,0,1,123,85,22,17,8,6,5,0,13,18,56,86,234,44,0,0,46,33,22,107,13,172,72,1,73,19,59,3,104,248,3497,3185,157,1023
161,"Striegau","BRE",0,0,1,2,1,0,0,1,1,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,8,4,6,1,0,1,0,2,0,18,49,187,34,0,0,17,11,9,65,0,44,7,1,14,11,20,1,7,40,1554,1091,96,288
162,"Waldenburg","BRE",0,0,3,4,8,0,0,0,0,2,1,0,3,1,2,22,19,10,2,10,0,74,0,5,0,0,1,187,60,53,16,6,4,1,0,15,0,34,28,277,18,0,0,115,41,27,81,2,125,4,4,56,13,41,2,25,158,2942,1488,114,587
163,"Glatz","BRE",0,0,3,6,11,0,0,2,3,2,0,0,4,1,1,0,0,2,0,16,0,28,0,0,0,0,0,81,36,51,4,12,4,3,4,27,7,23,144,317,27,0,0,43,29,18,114,11,229,7,2,70,28,56,0,44,86,4395,3653,112,241
164,"Habelschwerdt","BRE",0,0,1,1,3,0,0,1,2,0,0,0,3,0,0,1,0,2,0,14,0,9,0,0,0,0,0,38,14,14,4,3,1,2,0,1,1,17,197,236,109,0,0,18,10,21,75,0,83,10,2,77,10,35,6,46,26,2752,2293,23,50
165,"Creutzburg","OPP",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,6,1,1,0,9,0,1,0,0,0,0,0,24,21,9,7,1,0,0,0,1,1,4,21,64,8,0,0,2,1,7,38,4,88,5,2,40,11,25,0,31,45,1775,1686,135,247
166,"Rosenberg","OPP",0,0,1,3,6,0,0,1,0,2,2,0,2,0,0,0,0,6,1,22,0,4,0,0,0,0,1,23,4,6,1,3,0,1,0,0,0,10,27,72,32,0,0,0,0,10,61,4,68,0,1,29,10,26,0,5,41,2762,2015,110,153
167,"Oppeln","OPP",0,0,2,5,11,0,0,1,2,4,5,0,3,2,0,0,0,4,1,16,0,24,2,0,0,0,0,60,36,19,11,6,7,0,0,22,0,50,68,130,23,0,273,14,10,19,67,7,115,18,32,155,21,53,2,81,92,7657,6095,102,216
168,"Gross-Strehlitz","OPP",0,0,1,1,3,0,0,2,2,1,1,0,1,0,0,0,0,5,4,5,1,1,0,1,0,0,0,24,8,7,5,2,1,2,1,0,0,11,74,82,11,0,32,2,4,11,33,4,102,12,1,112,13,24,1,12,19,3669,3349,87,133
169,"Lublinitz","OPP",0,0,1,1,2,0,0,0,0,1,0,0,2,0,0,1,1,7,0,18,0,0,0,0,0,0,0,33,46,8,8,2,0,0,0,4,1,9,39,65,0,0,0,1,1,11,86,3,46,14,1,6,8,31,0,8,18,2969,2419,69,99
170,"Tost","OPP",0,0,2,2,5,0,0,2,5,4,5,0,5,1,0,3,6,3,5,20,0,0,0,0,0,2,5,57,37,31,18,5,2,5,1,19,10,33,51,104,5,0,3,7,6,16,48,11,148,13,1,33,17,47,1,17,42,4352,2603,117,148
171,"Beuthen","OPP",0,0,3,3,7,0,0,1,1,3,1,0,0,1,1,3,2,1,0,0,0,0,0,0,0,0,0,109,112,66,61,11,11,2,0,0,0,14,170,162,5,0,53,16,24,14,60,6,201,12,7,61,21,71,1,20,41,11131,4901,180,348
172,"Pless","OPP",0,0,2,3,6,0,0,0,0,1,1,0,1,0,0,0,0,6,0,20,2,0,0,0,0,0,0,38,21,8,4,0,0,0,0,24,0,15,28,50,3,0,0,1,1,14,40,4,137,26,1,65,14,46,0,63,24,3202,641,128,207
173,"Riebnick","OPP",0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,10,3,30,0,8,0,1,1,0,0,44,25,20,8,7,2,2,1,0,0,5,38,82,62,0,0,1,1,10,54,4,120,14,1,9,11,30,0,18,30,4997,3477,96,148
174,"Ratibor","OPP",0,0,3,3,10,0,0,3,7,2,5,0,2,3,1,5,0,2,4,44,0,5,0,0,0,0,0,38,50,19,28,6,4,6,7,11,4,97,122,69,46,0,10,10,25,10,67,1,151,53,1,75,69,110,1,169,181,7980,5756,145,806
175,"Cosel","OPP",0,0,1,1,3,0,0,1,0,1,0,0,2,0,0,0,0,2,1,37,0,3,0,0,0,0,1,34,24,5,2,0,0,1,1,1,0,25,45,89,55,0,93,6,4,7,36,4,101,23,1,28,13,33,2,59,80,4449,3717,168,115
176,"Leobschütz","OPP",0,0,2,3,6,0,0,4,3,3,0,0,3,0,0,5,0,0,0,59,1,6,0,2,0,0,0,77,17,17,8,6,2,3,1,35,7,17,58,104,61,0,0,10,6,7,59,1,154,40,1,24,14,48,45,140,485,3997,3485,62,149
177,"Neustadt","OPP",0,0,1,1,4,0,0,1,1,2,2,0,3,0,0,0,0,4,1,73,0,19,0,0,0,0,0,34,30,23,10,4,0,1,0,9,8,139,140,160,21,0,0,9,9,6,107,6,106,34,1,29,17,42,0,34,67,4253,3937,70,301
178,"Falkenberg","OPP",0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,19,9,11,0,3,0,0,0,0,0,16,75,134,18,0,38,1,0,9,81,1,33,6,1,9,8,30,0,7,14,1958,1585,128,75
179,"Neisse","OPP",0,0,4,7,24,0,0,2,2,3,6,0,7,4,7,5,9,2,1,7,4,13,0,1,0,0,7,75,81,52,29,5,7,8,7,33,2,60,106,326,60,0,0,52,37,17,83,10,165,37,1,75,24,68,1,37,103,3755,3367,146,1009
180,"Grotkau","OPP",0,0,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,0,0,30,10,16,3,0,0,2,0,7,0,11,2,232,12,0,0,7,3,10,104,0,35,7,1,6,10,20,1,6,6,5881,4108,247,392
181,"Grünberg","LIE",0,0,2,3,10,0,0,1,1,2,2,0,2,2,1,9,6,8,8,33,33,10,0,12,7,0,2,63,22,15,3,3,1,1,0,3,0,11,89,104,24,0,60,6,7,19,72,2,75,23,0,24,14,37,2,36,33,3906,1056,130,240
182,"Freistadt","LIE",0,0,2,2,4,0,0,1,10,2,2,0,4,0,0,1,2,4,0,52,0,91,0,0,0,0,0,52,45,45,23,5,1,4,1,42,0,33,53,210,25,0,580,19,6,20,102,3,107,72,2,31,11,42,0,22,62,3449,3155,156,398
183,"Sagan","LIE",0,0,1,2,4,0,0,2,5,3,2,0,2,1,2,3,6,3,0,2,0,1,0,3,2,0,0,41,25,22,5,2,2,6,0,115,0,28,113,78,94,0,0,31,16,15,39,5,171,75,3,52,16,25,1,28,56,2169,1454,81,130
184,"Sprottau","LIE",0,0,1,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,14,18,0,0,0,0,0,12,0,14,32,157,64,0,0,4,2,10,73,1,52,23,0,4,9,16,1,10,21,1442,988,134,245
185,"Glogau","LIE",0,0,2,4,20,1,3,3,19,4,11,1,3,4,8,4,8,6,10,12,3,6,0,0,0,0,6,154,66,46,31,5,6,12,12,20,19,37,53,194,40,0,121,24,44,18,150,15,152,36,2,80,62,75,2,86,363,3769,3463,235,1072
186,"Lüben","LIE",0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,9,1,47,0,2,0,0,0,15,10,12,2,1,0,0,0,15,0,46,93,76,18,0,0,8,7,3,34,1,112,8,1,22,8,21,0,9,19,1637,1406,132,231
