kreiskey1888,county,rb,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_sco,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_pro_cla,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_sco,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_cat_cla,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_sco,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_ocr_cla,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_sco,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_jew_cla,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_sco,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup,edu1886_mix_cla,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
98,"KALAU","FRA",4055,4153,8208,9568,76,3,0,59,0,0,110,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,81,112,0,180,9647,9568,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"KOTTBUS","FRA",133,144,277,2716,138,32,0,0,1,0,35,2,0,0,9,0,0,0,1,0,0,0,0,0,0,0,4,44,1,44,2755,2716,7,32,0,1,2,0,2,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"KOTTBUS","FRA",4424,4640,9064,9935,6,47,4,29,0,0,98,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,75,100,0,164,9992,9935,6,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"SORAU","FRA",5995,6060,12055,16370,691,16,12,46,2,0,168,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,83,169,0,249,16595,16369,198,16,12,3,6,0,7,494,1,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"SPREMBERG","FRA",1381,1378,2759,4235,107,0,0,13,1,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,46,0,68,4282,4235,47,0,0,1,1,0,1,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"DEMMIN","STE",3218,3135,6353,7720,34,1,7,71,1,0,142,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,103,145,3,157,7745,7720,17,1,7,1,1,0,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"ANKLAM","STE",1936,1861,3797,5055,6,1,6,51,0,0,85,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,61,86,1,90,5068,5055,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"USEDOM-WOLLIN","STE",3270,3367,6637,8441,32,4,13,29,0,0,111,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,68,119,0,132,8459,8441,1,4,13,1,1,0,1,31,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"UCKERMUNDE","STE",3438,3482,6920,8570,289,8,14,39,3,0,109,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,109,0,135,8600,8558,20,8,14,5,5,0,6,281,12,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"RANDOW","STE",5745,5716,11461,18167,65,73,74,98,0,0,230,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,113,233,1,277,18379,18167,65,73,74,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"STETTIN","STE",111,150,261,9536,283,69,41,0,0,0,164,3,0,0,34,1,0,0,1,0,0,0,0,0,0,0,18,198,1,199,9668,9536,22,69,41,1,4,0,4,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"GREIFENHAGEN","STE",4463,4384,8847,9797,12,31,27,76,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,127,0,154,9867,9797,12,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
