kreiskey1888,county,rb,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup
334,"CELLE","LUN",3,1,0,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0
335,"CELLE","LUN",25,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
336,"GIFHORN","LUN",44,0,0,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
337,"BURGDORF","LUN",48,0,1,90,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,91,1,0,0,0,0,1,0,0,0,0,0,0,0
338,"ISENHAGEN","LUN",21,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
339,"FALLINGBOSTEL","LUN",22,0,0,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"SOLTAU","LUN",9,0,0,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
341,"ULZEN","LUN",41,0,0,119,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0
342,"LUCHOW","LUN",30,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
343,"DANNENBERG","LUN",15,0,0,36,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0
344,"BLECKEDE","LUN",18,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
345,"LUNEBURG","LUN",0,1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0
346,"LUNEBURG","LUN",19,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
347,"WINSEN","LUN",14,0,0,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
348,"HARBURG","LUN",0,2,0,37,2,0,0,12,1,0,0,0,0,0,0,0,0,0,0,49,0,3,0,0,0,0,0,0,0,0,0,0,0
349,"HARBURG","LUN",13,0,0,90,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0
350,"JORK","STA",13,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
351,"STADE","STA",12,0,1,96,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,96,1,1,1,0,0,1,0,0,0,0,0,0,0
352,"KEHDINGEN","STA",14,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
353,"NEUHAUS","STA",16,0,0,79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,0,0,0,0
354,"HADELN (Otterndorf)","STA",11,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
355,"LEHE","STA",22,0,0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,1,0,0,0,0,0,0,0,0,0,0,0
356,"GEESTEMUNDE","STA",16,1,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,3,0,0,0,0,0,0,0,0,0,0,0
357,"OSTERHOLZ","STA",16,0,1,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,1,0,0,0,0,0,0,0
358,"BLUMENTHAL","STA",7,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
359,"VERDEN","STA",15,1,1,68,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,70,1,1,0,0,0,1,0,0,0,0,0,0,0
360,"ACHIM","STA",11,1,1,56,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,58,0,1,0,0,0,1,0,0,0,0,0,0,0
361,"ROTENBURG","STA",13,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
362,"ZEVEN","STA",7,0,0,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0
