id1819,kreiskey1800,county,rb,trans1819_ships,trans1819_ships_capacity,buil1819_inns_cargo
58,173,"Eckartsberga","MER",0,0,38
59,1,"(Preussisch) Eilau","KON",0,0,99
60,241,"Elberfeld","DUS",0,0,18
61,11,"Elbing","DAN",74,1361,42
62,185,"Erfurt","ERF",0,0,43
63,271,"Erkelenz","AAC",0,0,18
64,236,"Essen","DUS",104,3700,31
65,278,"Eupen","AAC",0,0,22
66,131,"Falkenberg","OPP",0,0,48
67,6,"Fischhausen","KON",27,899,74
68,22,"Flatow","MAR",0,0,64
69,117,"Frankenstein","BRE",0,0,79
70,71,"Frankfurt","FRA",80,720,22
71,99,"Franzburg","STR",18,124,69
72,46,"Fraustadt","POS",0,0,141
73,135,"Freistadt","LIE",272,3738,67
74,68,"Friedeberg","FRA",1,14,42
75,1,"Friedland","KON",1,10,46
76,94,"Fürstenthum","KOS",35,109,87
77,150,"Gardelegen","MAG",0,0,87
78,273,"Geilenkirchen","AAC",0,0,47
79,237,"Geldern","DUS",0,0,46
80,280,"Gemünd","AAC",0,0,32
81,5,"Gerdauen","KON",0,0,60
82,224,"Gimborn","KOL",0,0,37
83,246,"Gladbach","DUS",0,0,18
84,28,"Glaz","BRE",0,0,53
85,138,"Glogau","LIE",30,387,97
86,48,"Gnesen","BRO",0,0,114
87,249,"St. Goar","KOB",27,946,59
88,146,"Görlitz","LIE",0,0,20
89,8,"Goldap","GUM",0,0,54
90,12,"Graudenz","MAR",39,392,70
91,88,"Greifenberg","STE",0,0,26
92,83,"Greifenhagen","STE",12,133,67
93,100,"Greifswald","STR",68,779,84
94,245,"Grevenbroich","DUS",0,0,41
95,101,"Grimmen","STR",1,13,41
96,133,"Grottkau","OPP",0,0,69
97,134,"Grünberg","LIE",23,219,69
98,74,"Guben","FRA",62,428,34
99,107,"Guhrau","BRE",11,71,88
100,8,"Gumbinnen","GUM",0,0,117
101,28,"Habelschwerdt","BRE",0,0,27
102,217,"Hagen","ARN",0,0,81
103,141,"Hainau","LIE",0,0,50
104,161,"Halberstadt","MAG",0,0,32
105,158,"(Neu-)Haldensleben","MAG",0,0,68
106,169,"Halle","MER",4,71,21
107,202,"Halle","MIN",0,0,14
108,214,"Hamm","ARN",2,40,33
109,60,"(Ost-)Havelland","POT",87,1014,96
110,61,"(West-)Havelland","POT",102,1310,112
111,8,"Heidekrug","GUM",135,1200,27
112,181,"Heiligenstadt","ERF",0,0,21
113,2,"Heilsberg","KON",0,0,63
114,272,"Heinsberg","AAC",0,0,28
115,201,"Herford","MIN",21,420,11
116,29,"Hirschberg","LIE",0,0,65
117,208,"Höxter","MIN",30,818,39
118,3,"(Preussisch) Holland","KON",13,43,69
119,224,"Homburg","KOL",0,0,17
120,143,"Jauer","LIE",0,0,66
121,153,"1. Jerichow","MAG",0,0,137
122,152,"2. Jerichow","MAG",130,1830,123
123,21,"Inowrazlaw","BRO",0,0,63
124,8,"Insterburg","GUM",124,2217,88
125,9,"Johannsburg","GUM",1,10,25
126,218,"Iserlohn","ARN",0,0,26
127,274,"Jülich","AAC",0,0,77
128,57,"Jüterbok","POT",0,0,48
129,77,"Kalau","FRA",0,0,34
130,154,"Kalbe","MAG",58,1156,68
131,87,"Kammin","STE",27,309,30
132,16,"Karthaus","DAN",0,0,35
133,238,"Kempen","DUS",0,0,23
134,234,"Kleve","DUS",9,360,47
135,248,"Koblenz","KOB",71,2060,25
136,252,"Kochem","KOB",24,255,48
137,229,"Köln","KOL",2,20,14
138,65,"Königsberg","FRA",58,503,114
139,6,"Königsberg, Stadtkreis","KON",34,1163,52
140,6,"Königsberg, Landkreis","KON",5,121,112
