kreiskey1888,county,rb,edu1886_wag_m_tot,edu1886_wag_f_tot
434,"WOLFHAGEN","KAS",54576,750
435,"MARBURG","KAS",98357,2570
436,"FRANKENBERG","KAS",64454,0
437,"KIRCHHAIN","KAS",53514,2040
438,"ZIEGENHAIN","KAS",73988,0
439,"FULDA","KAS",85012,8580
440,"HERSFELD","KAS",80566,0
441,"HUNFELD","KAS",50715,0
442,"HANAU","KAS",51050,2180
443,"HANAU","KAS",80629,750
444,"GELNHAUSEN","KAS",99100,3240
445,"SCHLUCHTERN","KAS",63716,0
446,"SCHMALKALDEN","KAS",62465,0
447,"SCHAUMBURG","KAS",88913,2940
448,"GERSFELD","KAS",51390,0
449,"BIEDENKOPF","WIE",71411,3130
450,"DILLKREIS","WIE",74615,615
451,"OBERWESTERWALDKREIS","WIE",55611,0
452,"WESTERBURG","WIE",61436,2542
453,"UNTERWESTERWALDKREIS","WIE",84536,9665
454,"OBERLAHNKREIS","WIE",75979,4245
455,"LIMBURG","WIE",90587,14088
456,"UNTERLAHNKREIS","WIE",98001,4081
457,"SANKT GOARSHAUSEN","WIE",86628,5259
458,"RHEINGAUKREIS","WIE",60533,16612
459,"WIESBADEN","WIE",86393,6710
460,"UNTERTAUNUSKREIS","WIE",88187,1080
461,"USINGEN","WIE",49155,0
462,"OBERTAUNUSKREIS","WIE",75500,0
463,"HOCHST","WIE",66119,6074
464,"FRANKFURT","WIE",117471,11507
465,"WIESBADEN","WIE",96585,0
466,"FRANKFURT","WIE",363480,54200
467,"KOBLENZ","KOB",58865,22015
468,"KOBLENZ","KOB",74268,31857
469,"SANKT GOAR","KOB",86953,9584
470,"KREUZNACH","KOB",167776,8710
471,"SIMMERN","KOB",109459,705
472,"ZELL","KOB",64859,9599
473,"KOCHEM","KOB",71567,18522
474,"MAYEN","KOB",94211,33955
475,"ADENAU","KOB",58085,3770
476,"AHRWEILER","KOB",67193,17593
477,"NEUWIED","KOB",144186,21903
478,"ALTENKIRCHEN","KOB",147362,2975
479,"WETZLAR","KOB",115397,1900
480,"MEISENHEIM","KOB",35795,0
481,"KLEVE","DUS",100481,38802
482,"REES","DUS",123799,44905
483,"KREFELD","DUS",258357,74655
484,"KREFELD","DUS",60580,30930
485,"DUISBURG","DUS",209100,12450
486,"MULHEIM","DUS",224712,33235
487,"RUHRORT","DUS",187620,28140
488,"ESSEN","DUS",170445,56565
489,"ESSEN","DUS",317574,120342
490,"MORS","DUS",159199,25670
491,"GELDERN","DUS",76895,46472
492,"KEMPEN","DUS",147175,82610
493,"DUSSELDORF","DUS",219130,107175
494,"DUSSELDORF","DUS",126142,41090
495,"ELBERFELD","DUS",437620,23280
496,"BARMEN","DUS",371430,57460
497,"METTMANN","DUS",172235,21036
498,"REMSCHEID","DUS",89967,28715
499,"LENNEP","DUS",191842,10486
500,"SOLINGEN","DUS",303659,50315
501,"NEUSS","DUS",77794,54371
502,"GREVENBROICH","DUS",93509,29810
503,"MUNCHEN GLADBACH","DUS",75800,42925
504,"GLADBACH","DUS",195560,56149
505,"WIPPERFURTH","KOL",47603,15290
506,"WALDBROL","KOL",55725,845
507,"GUMMERSBACH","KOL",83739,750
508,"SIEGKREIS","KOL",161466,42368
509,"MULHEIM","KOL",150430,60215
510,"KOLN","KOL",316000,183622
511,"KOLN","KOL",243165,140200
512,"BERGHEIM","KOL",71370,33245
513,"EUSKIRCHEN","KOL",74510,34025
514,"RHEINBACH","KOL",61969,17914
515,"BONN","KOL",46300,31400
516,"BONN","KOL",76255,42808
517,"DAUN","TRI",61471,8132
518,"PRUM","TRI",73974,11457
519,"BITBURG","TRI",76186,24210
520,"WITTLICH","TRI",58471,20482
521,"BERNKASTEL","TRI",85973,24732
522,"TRIER","TRI",36960,20755
523,"TRIER","TRI",113448,40608
524,"SAARBURG","TRI",51669,18673
525,"MERZIG","TRI",58297,29061
526,"SAARLOUIS","TRI",115112,58157
527,"SAARBRUCKEN","TRI",301178,69247
528,"OTTWEILER","TRI",154810,57440
529,"SANKT WENDEL","TRI",111498,18745
530,"ERKELENZ","AAC",83786,6685
531,"HEINSBERG","AAC",69056,10780
532,"GEILENKIRCHEN","AAC",51220,7165
533,"JULICH","AAC",100036,10820
534,"DUREN","AAC",150455,46850
535,"AACHEN","AAC",133100,88300
536,"AACHEN","AAC",183473,76471
537,"EUPEN","AAC",36837,21872
538,"MONTJOIE","AAC",37825,4197
539,"SCHLEIDEN","AAC",114573,9915
540,"MALMEDY","AAC",84575,10287
541,"SIGMARINGEN","SIG",46281,2758
542,"GAMMERTINGEN","SIG",32717,0
543,"HECHINGEN","SIG",43601,0
544,"HAIGERLOCH","SIG",28095,0
