kreiskey1849,county,rb,occ1849_mar_ships,occ1849_mar_capacity,occ1849_river_ships,occ1849_river_capacity,occ1849_carriage_horses,occ1849_inn_carriage_inns
284,"Euskirchen","KOL",0,0,0,0,19,53
285,"Rheinbach","KOL",0,0,0,0,26,13
286,"Bonn","KOL",0,0,17,342,104,47
287,"Cleve","DUS",0,0,36,1090,85,59
288,"Rees","DUS",0,0,74,3437,117,40
289,"Duisburg","DUS",0,0,544,44356,199,86
290,"Geldern","DUS",0,0,34,1386,57,86
291,"Kempen","DUS",0,0,0,0,32,87
292,"Crefeld","DUS",0,0,32,2564,133,35
293,"Düsseldorf","DUS",0,0,26,2720,118,83
294,"Elberfeld","DUS",0,0,0,0,343,77
295,"Lennep","DUS",0,0,0,0,210,92
296,"Solingen","DUS",0,0,2,6,93,47
297,"Neuss","DUS",0,0,8,269,38,82
298,"Grevenbroich","DUS",0,0,0,0,18,38
299,"Gladbach","DUS",0,0,0,0,51,36
300,"Simmern","KOB",0,0,0,0,28,0
301,"Coblenz","KOB",0,0,74,5054,201,110
302,"St. Goar","KOB",0,0,41,1191,57,39
303,"Kreuznach","KOB",0,0,0,0,178,55
304,"Zell","KOB",0,0,19,483,19,38
305,"Kochheim","KOB",0,0,50,1299,28,11
306,"Mayen","KOB",0,0,22,411,28,36
307,"Adenau","KOB",0,0,0,0,8,15
308,"Ahrweiler","KOB",0,0,16,4868,23,36
309,"Neuwied","KOB",0,0,45,735,49,53
310,"Altenkirchen","KOB",0,0,0,0,14,32
311,"Wetzlar","KOB",0,0,0,0,33,35
312,"Daun","TRI",0,0,0,0,6,1
313,"Prüm","TRI",0,0,0,0,13,52
314,"Bitburg","TRI",0,0,11,37,34,21
315,"Wittlich","TRI",0,0,8,143,6,6
316,"Trier (Stadt)","TRI",0,0,245,7518.58,95,55
317,"Trier (Land)","TRI",0,0,61,529.5,3,21
318,"Berncastel","TRI",0,0,110,1582.5,31,28
319,"Saarburg","TRI",0,0,154,4013,20,3
320,"Merzig","TRI",0,0,76,1725,19,31
321,"Saarlouis","TRI",0,0,85,1871.5,21,41
322,"Saarbrücken","TRI",0,0,32,709,88,98
323,"Ottweiler","TRI",0,0,0,0,4,41
324,"St. Wendel","TRI",0,0,0,0,36,32
325,"Erkelens","AAC",0,0,0,0,14,32
326,"Heinsberg","AAC",0,0,0,0,18,27
327,"Geilenkirchen","AAC",0,0,0,0,11,30
328,"Jülich","AAC",0,0,0,0,16,64
329,"Düren","AAC",0,0,0,0,86,75
330,"Stadt Aachen","AAC",0,0,0,0,102,18
331,"Landkreis Aachen","AAC",0,0,0,0,87,63
332,"Eupen","AAC",0,0,0,0,47,17
333,"Montjoie","AAC",0,0,0,0,7,32
334,"Schleiden","AAC",0,0,0,0,39,91
335,"Malmedy","AAC",0,0,0,0,84,37
