kreiskey1864,county,rb,pop1864_tot,pop1864_civ,pop1864_mil,pop1864_m_0to15,pop1864_f_0to15,pop1864_tot_15to65,pop1864_m_ov65,pop1864_f_ov65
269,"LIPPSTADT","ARN",35096,34936,160,6333,6120,21297,632,554
270,"SOEST","ARN",48583,48004,579,8696,8180,28995,1076,1057
271,"HAMM LANDKREIS","ARN",55534,55222,312,10304,9917,32675,1167,1159
272,"DORTMUND LANDKREIS","ARN",96405,96345,60,18931,17772,55910,1302,1430
273,"BOCHUM LANDKREIS","ARN",97188,97140,48,18776,17817,57833,1302,1412
274,"HAGEN LANDKREIS","ARN",97232,97185,47,18822,18251,57044,1515,1553
275,"ISERLOHN","ARN",49261,49221,40,9177,8903,29615,713,813
276,"ALTENA","ARN",50998,50962,36,9048,8835,31388,902,789
277,"OLPE","ARN",29452,29399,53,5345,5125,17997,477,455
278,"SIEGEN","ARN",52718,52673,45,9099,8770,33334,759,711
279,"WITTGENSTEIN","ARN",21492,21469,23,3913,3769,12998,419,370
280,"WIPPERFURTH","KOL",28098,28091,7,5079,4912,17097,576,427
281,"WALDBROL","KOL",21656,21638,18,4216,4183,12647,309,283
282,"GUMMERSBACH","KOL",30152,30133,19,5519,5392,18030,628,564
283,"SIEGKREIS","KOL",84094,83977,117,15163,15225,50501,1588,1500
284,"MULHEIM RHEIN LANDKREIS","KOL",52112,51861,251,9434,9252,31368,899,808
285,"KOLN STADTKREIS","KOL",122162,117000,5162,18871,18187,75897,1708,2337
286,"KOLN LANDKREIS","KOL",73075,71151,1924,13366,12841,42450,1225,1269
287,"BERGHEIM","KOL",40824,40793,31,7463,7150,24051,1006,1123
288,"EUSKIRCHEN","KOL",36987,36977,10,6487,6242,22436,897,915
289,"RHEINBACH","KOL",32093,32079,14,5764,5571,19133,788,823
290,"BONN LANDKREIS","KOL",63630,62745,885,10642,10409,38916,1295,1483
291,"KLEVE","DUS",49628,48897,731,8160,8068,30008,1223,1438
292,"REES","DUS",60387,54679,5708,9563,9586,32773,1338,1419
293,"KREFELD LANDKREIS","DUS",80668,80644,24,15257,14999,47796,1136,1456
294,"DUISBURG","DUS",110033,109965,68,22249,21331,63190,1543,1652
295,"ESSEN LANDKREIS","DUS",92817,92648,169,17189,16044,57270,1003,1142
296,"MORS","DUS",59044,59013,31,10942,10355,34839,1375,1502
297,"GELDERN","DUS",48751,48704,47,7974,7821,30443,1200,1266
298,"KEMPEN","DUS",76640,76606,34,13108,12752,47547,1516,1683
299,"DUSSELDORF LANDKREIS","DUS",102423,98938,3485,17311,16572,60579,2247,2229
300,"METTMANN","DUS",52086,52053,33,9377,9278,31308,1051,1039
301,"ELBERFELD","DUS",62008,61995,13,10671,10201,39230,856,1037
302,"BARMEN","DUS",59544,59526,18,10920,10294,36755,761,796
303,"LENNEP","DUS",77029,76993,36,14145,13457,46813,1350,1228
304,"SOLINGEN LANDKREIS","DUS",85299,85241,58,16210,15813,50263,1515,1440
305,"NEUSS","DUS",42242,41189,1053,7446,7112,24660,957,1014
306,"GREVENBROICH","DUS",39063,39050,13,6953,6788,23291,961,1057
307,"GLADBACH","DUS",85071,85056,15,14608,14324,53042,1555,1527
308,"KOBLENZ LANDKREIS","KOB",74433,66500,7933,10793,10761,42264,1363,1319
309,"SANKT GOAR","KOB",37220,37170,50,6745,6523,22584,725,593
310,"KREUZNACH","KOB",59453,59402,51,9840,9831,37277,1285,1169
311,"SIMMERN","KOB",37549,37457,92,6520,6347,23282,718,590
312,"ZELL","KOB",28844,28817,27,4772,4894,18042,583,526
313,"KOCHEM","KOB",35800,35746,54,6499,6565,21466,635,581
314,"MAYEN","KOB",55423,55254,169,9781,9866,33439,1100,1068
315,"ADENAU","KOB",22705,22672,33,4147,4007,13688,437,393
316,"AHRWEILER","KOB",34549,34534,15,6214,6155,20676,722,767
317,"NEUWIED","KOB",67758,67504,254,12115,12144,40717,1320,1208
318,"ALTENKIRCHEN","KOB",44336,44310,26,8214,8058,26980,560,498
319,"WETZLAR","KOB",44401,43729,672,7406,7395,27148,950,830
320,"DAUN","TRI",26872,26850,22,4882,4750,16178,521,519
321,"PRUM","TRI",35282,35256,26,6428,6300,21296,653,579
322,"BITBURG","TRI",44157,44111,46,7610,7614,26942,1007,938
323,"WITTLICH","TRI",37538,37510,28,6392,6343,23252,805,718
324,"BERNKASTEL","TRI",44816,44764,52,7362,7373,28042,1023,964
325,"TRIER STADTKREIS","TRI",31736,28341,3395,4383,4454,18212,644,648
326,"TRIER LANDKREIS","TRI",63761,63739,22,11429,11305,38533,1301,1171
327,"SAARBURG","TRI",30657,30644,13,5256,5236,18731,714,707
328,"MERZIG","TRI",35386,35354,32,6828,6948,20242,674,662
329,"SAARLOUIS","TRI",58206,55316,2890,10934,10705,31393,1072,1212
330,"SAARBRUCKEN","TRI",69152,68689,463,12720,11907,42304,772,986
331,"OTTWEILER","TRI",44103,44058,45,8766,8515,25413,639,725
332,"SANKT WENDEL","TRI",42424,42361,63,7656,7697,25332,878,798
